TreeID,id,EpiID,site,DBH_num,EpiCount_noNA,taxon_id,TreeCat,NumberTrees,siteLat,siteLon,setting,dominanttree1,dominanttree2,dominanttree3,dominanttree4,dominanttree5,dominanttree6,V17,undergrowth,n_epis_per_site,n_sp_per_site,n_epis_per_site_cat,n_sp_per_site_cat,Name,area_ha,taxon.name,n_obs,sum_individuals,user_login,quality_grade,observed_on,description,captive,uri,latitude,longitude,location,taxon.common,user_observations_count,user_activity_count,user_species_count,taxon.endemic,taxon.rank,taxon.introduced,taxon.native,taxon.observations_count,TreeSp,GrowingSite,Moss,EpiCount,EpiSize,DBH,EpiHeight,Setting,field:NA,TreeHeight,ObsGroup,field:host plant id,field:plant life stage,field:invasive?,field:associated observation,field:plant phenology->most common flowering/fruiting reproductive stage,field:name of associated plant,field:epiphytic on,field:hábitat,field:associated taxa,field:habitat (s afr),field:host plant,field:host,field:epiphyte host,field:height off ground,field:height (m),field:interaction->epiphyte host,field:madagascar vegetation type,field:leaf [plant identification],field:flowering phenology,field:origin [iucn red list],field:plant growth form [iucn red list],field:recolecta_plantas,field:recolecta_semillas,field:cantidad de esquejes,field:plantas_madres_esquejes,field:recolecta de muestras de herbario,field:habitat,field:is this observation for...,field:placeholder backup,field:built environment type,field:attached to: (interaction),field:related observations,field:similar observation set,field:estimated height,field:altitude/depth in m: (s afr),field:elevation (m),field:aberrant type,field:tree,field:other organism,"field:how big were the pups? in relation to the adult (0.25, 0.50, 0.75)?",field:specifics of the site,field:cultivated,field:camera,field:epífitos,field:bio 2 lab section number spring 2023,field:host observation,field:gahnia grove,field:interaction (commensalism),field:tipo de maleza,field:substrate_detail2,field:epiphyte %,field:epiphytes,field:id reference,field:abundance category,field:associated species with names lookup,field:interaction type,field:bio 2 lab section number su21,field:tipo de ecosistema (méxico),field:associated species,field:naturemapr url,field:natusfera url,field:certainty,field:cultivated or wild-grown?,field:count,field:plant flowering,field:plant fruiting,field:estimate the height of the plant (in m),field:feeding on,field:animal behavior,field:is it wild?,field:zonebc,field:about the site,field:sp 2020 lab section numbers,field:linked observation,field:invasive,field:zoneea,field:renh2019 trial,field:zoneeb,field:kc tradescantia,field:depth of tradescantia before intervention,field:zonedb,field:zonecb,field:kc native seedlings and sporelings,field:kcrenh19 survey,field:zoneda,field:lab section numbers,field:gender,field:submitted by questagame player,field:questagame sighting no.,field:zonefb,field:california native,field:substrate/soil type,field:plant description,field:local habitat description,field:id source,field:endemic to new zealand,field:native ferns of kaipatiki,field:fitofisionomias do bioma caatinga,field:name(s) of other observers present,field:observado url,field:zoneca,field:native trees of kaipatiki,field:host species with names lookup,field:ispot reference (2014-2017),field:ispot certainty,field:ispot id,field:associated with: (interaction),field:physical habitat/substrate,field:ecological interaction,field:observer expertise,field:fiddleheads,field:developmental stage,TreeHeight_num,photo_gallery,photo_urls_concat,EpiCount_num,EpiHeight_chr,EpiSize_chr,EpiHeight_num,EpiSize_num,obs_date,family_id,family_name,class_id,class_name,genus_id,genus_name
S02T01,270991012,S02T01_E01,S02,0.5,1,54227,30 - 60,25,52.47335,5.42394,Rural,Acer,Prunus,Fagus,"","","","","",1,1,1,1,Site2_Lelystad,0.20759558764,Fagus sylvatica,16,16,marie-ho,research,2025-04-17 13:43:54+02:00,Accidental epiphyte,FALSE,https://www.inaturalist.org/observations/270991012,52.4736283333,5.4237366667,"52.4736283333,5.4237366667",European beech,3337,3541,943,FALSE,species,FALSE,TRUE,71644,Acer,crotch,yes,1,0.13,0.5,2,Rural,,15,"",,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",15,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/487413630/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/487413664/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/487414221/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/487415140/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/487415178/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/487414085/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/487413630/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/487413664/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/487414221/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/487415140/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/487415178/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/487414085/square.jpg,1,2,0.13,2,0.13,2025-04-17,47852,Fagaceae,47124,Magnoliopsida,49203,Fagus
S03T01,272402245,S03T01_E01,S03,1.4,1,55882,90+,1,52.3742974,4.5816766,Rural,Pinus,Fagus,"","","","","",Ilex,3,3,1,1,Site3_Haarlem,0.261208029543,Hedera helix,49,50,marie-ho,needs_id,2025-04-23 08:46:36+02:00,Little accidental epiphyte in old beech — or is it ivy?,FALSE,https://www.inaturalist.org/observations/272402245,52.37442,4.5819383333,"52.37442,4.5819383333",common ivy,3337,3541,943,FALSE,species,FALSE,TRUE,151118,Beech,crotch,no,1,0.04,1.4,0.9,Rural,,15,"",,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",15,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490078430/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490078471/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490078517/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490078560/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490078588/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/490078430/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/490078471/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/490078517/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/490078560/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/490078588/square.jpg,1,0.9,0.04,0.9,0.04,2025-04-23,52849,Araliaceae,47124,Magnoliopsida,55883,Hedera
S03T02,277630707,S03T02_E01,S03,0.5,1,52672,30 - 60,25,52.3742974,4.5816766,Rural,Pinus,Fagus,"","","","","",Ilex,3,3,1,1,Site3_Haarlem,0.261208029543,Dryopteris,28,28,marie-ho,needs_id,2025/04/23 9:15 AM,"",FALSE,https://www.inaturalist.org/observations/277630707,52.3743388889,4.5826777778,"52.3743388889,4.5826777778",wood ferns,3337,3541,943,FALSE,genus,FALSE,FALSE,247184,Carpinus betulus?,stem base-roots,yes,1,0.1,0.5,0.15,Rural,,20,"",,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",20,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498508759/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498508733/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498508731/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498508730/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/498508759/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498508733/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498508731/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498508730/square.jpg,1,0.15,0.1,0.15,0.1,2025-04-23,47753,Dryopteridaceae,121943,Polypodiopsida,52672,Dryopteris
S03T02,272403824,S03T02_E02,S03,0.6,1,359752,60 - 90,14,52.3742974,4.5816766,Rural,Pinus,Fagus,"","","","","",Ilex,3,3,1,1,Site3_Haarlem,0.261208029543,Dryopteris dilatata,10,11,marie-ho,needs_id,2025-04-23 09:15:27+02:00,"",FALSE,https://www.inaturalist.org/observations/272403824,52.3743366667,4.5826716667,"52.3743366667,4.5826716667",broad buckler-fern,3337,3541,943,FALSE,species,FALSE,TRUE,9408,Quercus,stem base-roots,yes,1,0.3,0.6,0.2,Rural,,20,"",,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",20,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490081426/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490081454/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490081482/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/490081506/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/490081426/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/490081454/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/490081482/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/490081506/square.jpg,1,0.2,0.3,0.2,0.3,2025-04-23,47753,Dryopteridaceae,121943,Polypodiopsida,52672,Dryopteris
S04T01,277653936,S04T01_E01,S04,0.56,2,47538,30 - 60,38,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,95,26,Site4_LeidenDunes,0.281898173837,Euonymus,1,2,marie-ho,needs_id,2025/04/27 8:50 AM,"",FALSE,https://www.inaturalist.org/observations/277653936,52.1273777778,4.4643916667,"52.1273777778,4.4643916667",spindles,3337,3541,943,FALSE,genus,FALSE,FALSE,213241,Salix,pollard head,no,2,0.4,0.56,1.76,Urban,,1.76,S4T01,,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",1.76,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498546968/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544769/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/498546968/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544769/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg,2,1.76,0.4,1.76,0.4,2025-04-27,47539,Celastraceae,47124,Magnoliopsida,47538,Euonymus
S04T01,277653940,S04T01_E02,S04,0.56,1,55847,30 - 60,38,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,95,26,Site4_LeidenDunes,0.281898173837,Euonymus europaeus,3,3,marie-ho,needs_id,2025/04/27 8:50 AM,"",FALSE,https://www.inaturalist.org/observations/277653940,52.1273777778,4.4643916667,"52.1273777778,4.4643916667",Spindle,3337,3541,943,FALSE,species,FALSE,TRUE,39015,Salix,pollard head,no,1,0.5,0.56,1.76,Urban,,1.76,S4T01,,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",1.76,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498546969/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544769/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/498546969/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544769/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg,1,1.76,0.5,1.76,0.5,2025-04-27,47539,Celastraceae,47124,Magnoliopsida,47538,Euonymus
S04T01,277653938,S04T01_E03,S04,0.56,1,143793,30 - 60,38,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,95,26,Site4_LeidenDunes,0.281898173837,Prunus padus,4,4,marie-ho,needs_id,2025/04/27 8:50 AM,"",FALSE,https://www.inaturalist.org/observations/277653938,52.1273777778,4.4643916667,"52.1273777778,4.4643916667",bird cherry,3337,3541,943,FALSE,species,FALSE,TRUE,50188,Salix,pollard head,no,1,0.4,0.56,1.76,Urban,,1.76,S4T01,,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",1.76,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498546972/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544769/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/498546972/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544769/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg,1,1.76,0.4,1.76,0.4,2025-04-27,47148,Rosaceae,47124,Magnoliopsida,47351,Prunus
S04T01,277653933,S04T01_E04,S04,0.56,1,155124,30 - 60,38,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,95,26,Site4_LeidenDunes,0.281898173837,Cornus sanguinea,1,1,marie-ho,needs_id,2025/04/28 9:47 AM,"",FALSE,https://www.inaturalist.org/observations/277653933,52.1270972222,4.4637083333,"52.1270972222,4.4637083333",common dogwood,3337,3541,943,FALSE,species,FALSE,TRUE,38158,Salix,pollard head,no,1,0.5,0.56,1.6,Urban,,1.76,S4T01,,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",1.76,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544765/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544773/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/498544765/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544773/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg,1,1.6,0.5,1.6,0.5,2025-04-28,47194,Cornaceae,47124,Magnoliopsida,47193,Cornus
S04T01,277653935,S04T01_E05,S04,0.56,1,790553,30 - 60,38,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,95,26,Site4_LeidenDunes,0.281898173837,Apioideae,5,11,marie-ho,needs_id,2025/04/27 8:50 AM,"",FALSE,https://www.inaturalist.org/observations/277653935,52.1272777778,4.4647805556,"52.1272777778,4.4647805556","",3337,3541,943,FALSE,subfamily,FALSE,FALSE,1589808,Salix,pollard head,no,1,0.15,0.56,1.76,Urban,,1.76,S4T01,,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",1.76,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544803/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/498544803/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498544809/square.jpg,1,1.76,0.15,1.76,0.15,2025-04-27,48699,Apiaceae,47124,Magnoliopsida,,""
S04T02,277655040,S04T02_E01,S04,0.4,1,55831,30 - 60,38,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,95,26,Site4_LeidenDunes,0.281898173837,Glechoma,2,2,marie-ho,needs_id,2025/04/27 8:51 AM,"",FALSE,https://www.inaturalist.org/observations/277655040,52.1273305556,4.4648611111,"52.1273305556,4.4648611111",ground-ivies,3337,3541,943,FALSE,genus,FALSE,FALSE,177297,Salix,knot-burr-gnarl,no,1,0.3,0.4,0.4,Urban,,1.8,S4T02,,"","","","",,"","",,"","",,,"",,,"","","","","","","",,,,"","","","","","",,,"",,"","",,,"","","","",,"","","","","",,"","","",,"","","","","","","","",,"","","",,,"","","","","","","","","","","","","","","","","","","",,"","","",,,"","","","","","","","",,"",,"","","","","","","",1.8,"<div><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498550573/square.jpg""""style=""""margin:20px;""""><img src=""""https://inaturalist-open-data.s3.amazonaws.com/photos/498550607/square.jpg""""style=""""margin:20px;""""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/498550573/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/498550607/square.jpg,1,0.4,0.3,0.4,0.3,2025-04-27,48623,Lamiaceae,47124,Magnoliopsida,55831,Glechoma
