site,TreeCat,NumberTrees,siteLat,siteLon,setting,dominanttree1,dominanttree2,dominanttree3,dominanttree4,dominanttree5,dominanttree6,V17,undergrowth,n_epis_per_site,n_sp_per_site,n_epis_per_site_cat,n_sp_per_site_cat,Name,area_ha
S01,10 - 30,81,52.45567,5.43411,Rural,Acer,Prunus,"","","","","","",0,0,0,0,Site1_Lelystad,0.374011314282
S01,30 - 60,113,52.45567,5.43411,Rural,Acer,Prunus,"","","","","","",0,0,0,0,Site1_Lelystad,0.374011314282
S01,60 - 90,0,52.45567,5.43411,Rural,Acer,Prunus,"","","","","","",0,0,0,0,Site1_Lelystad,0.374011314282
S01,90+,0,52.45567,5.43411,Rural,Acer,Prunus,"","","","","","",0,0,0,0,Site1_Lelystad,0.374011314282
S02,10 - 30,31,52.47335,5.42394,Rural,Acer,Prunus,Fagus,"","","","","",0,0,0,0,Site2_Lelystad,0.20759558764
S02,30 - 60,25,52.47335,5.42394,Rural,Acer,Prunus,Fagus,"","","","","",1,1,1,1,Site2_Lelystad,0.20759558764
S02,60 - 90,5,52.47335,5.42394,Rural,Acer,Prunus,Fagus,"","","","","",0,0,0,0,Site2_Lelystad,0.20759558764
S02,90+,0,52.47335,5.42394,Rural,Acer,Prunus,Fagus,"","","","","",0,0,0,0,Site2_Lelystad,0.20759558764
S03,10 - 30,34,52.3742974,4.5816766,Rural,Pinus,Fagus,"","","","","",Ilex,0,0,0,0,Site3_Haarlem,0.261208029543
S03,30 - 60,25,52.3742974,4.5816766,Rural,Pinus,Fagus,"","","","","",Ilex,3,3,1,1,Site3_Haarlem,0.261208029543
S03,60 - 90,14,52.3742974,4.5816766,Rural,Pinus,Fagus,"","","","","",Ilex,3,3,1,1,Site3_Haarlem,0.261208029543
S03,90+,1,52.3742974,4.5816766,Rural,Pinus,Fagus,"","","","","",Ilex,3,3,1,1,Site3_Haarlem,0.261208029543
S04,10 - 30,1,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",0,0,0,0,Site4_LeidenDunes,0.281898173837
S04,30 - 60,38,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,95,26,Site4_LeidenDunes,0.281898173837
S04,60 - 90,12,52.1261161,4.4632246,Urban,Salix,Alnus,"","","","","","",146,31,51,13,Site4_LeidenDunes,0.281898173837
S05,10 - 30,29,52.1314008,4.3349636,Rural,Quercus,Crataegus,"","","","","","",13,3,3,1,Site5_LeidenCanalWllows,0.239832611027
S05,30 - 60,17,52.1314008,4.3349636,Rural,Quercus,Crataegus,"","","","","","",13,3,2,1,Site5_LeidenCanalWllows,0.239832611027
S05,60 - 90,12,52.1314008,4.3349636,Rural,Quercus,Crataegus,"","","","","","",13,3,5,2,Site5_LeidenCanalWllows,0.239832611027
S05,90+,1,52.1314008,4.3349636,Rural,Quercus,Crataegus,"","","","","","",13,3,3,2,Site5_LeidenCanalWllows,0.239832611027
S06,0 - 10,2,52.1593306,4.5311344,Urban,Salix,Quercus,Acer,"","","","","",0,0,0,0,Site6_LeidenLibraryWillows,0.159691029639
S06,10 - 30,21,52.1593306,4.5311344,Urban,Salix,Quercus,Acer,"","","","","",83,16,6,4,Site6_LeidenLibraryWillows,0.159691029639
S06,30 - 60,19,52.1593306,4.5311344,Urban,Salix,Quercus,Acer,"","","","","",83,16,64,14,Site6_LeidenLibraryWillows,0.159691029639
