id,tree_genus
100009457,Betula
100597079,Unknown
100648833,Salix
100724024,Quercus
1007830,Chamaecyparis
100873740,Prosopis
100904648,Unknown
101372208,Unknown
101507846,Dicksonia
1015233,Phytoliriomyza
101636411,Californicae
101636481,Californicae
101636693,Unknown
101636844,Californicae
101636936,Californicae
101636993,Californicae
101637304,Californicae
101637526,Californicae
101641052,Unknown
101641202,Unknown
101643769,Californicae
101643858,Unknown
101643959,Californicae
101644199,Californicae
101698151,Unknown
101797979,Unknown
101868546,Acer
102114997,Quercus
102158725,Eucalyptus
102381148,Acer
102421634,Californicae
102421766,Unknown
102421912,Unknown
102449657,Unknown
102518697,Unknown
102704959,Unknown
102704976,Unknown
102705051,Unknown
102705089,Unknown
102734501,Arecaceae
102735688,Unknown
102771750,Unknown
10280649,Unknown
10280828,Unknown
10281274,Unknown
10281345,Unknown
102853200,Rhopalostylis
102865987,Rhododendron
102875080,Unknown
10287796,Unknown
10287805,Unknown
10287814,Unknown
10287932,Unknown
10287948,Unknown
10287982,Unknown
10288019,Unknown
10288054,Unknown
103040851,Cervus
1031644,Loberia
103171687,Unknown
103171694,Unknown
103171720,Unknown
103171787,Unknown
103171913,Unknown
103171954,Phoenix
103172025,Phoenix
103172075,Unknown
103172103,Unknown
103172124,Phoenix
103172207,Phoenix
103200103,Unknown
103292841,Treefern
103387808,Unknown
103403636,Unknown
103484819,Unknown
103523669,Unknown
103620985,Nothofagus
103620996,Nothofagus
103621000,Nothofagus
103711805,Acer
103717010,Unknown
103773304,Unknown
103773349,Unknown
103773832,Californicae
103773945,Californicae
103774063,Californicae
1037871,Unknown
103841754,Unknown
103841948,Unknown
103845777,Unknown
103846855,Unknown
103847284,Unknown
103847422,Unknown
103847693,Unknown
103847873,Unknown
103849063,Unknown
103871776,Unknown
103911125,Unknown
103911352,Unknown
103912991,Unknown
103922823,Unknown
103954580,Terminalia
103980580,Dicksonia
104084814,Phoenix
104084850,Phoenix
104084881,Unknown
104084943,Unknown
104085066,Californicae
104138649,Unknown
104138809,Unknown
104141137,Unknown
1042099,Cabbage
104216578,Unknown
104355546,Arecaceae
104370345,Unknown
104397711,Phoenix
104546545,Unknown
104623215,Californicae
104623274,Phoenix
104623322,Unknown
104626524,Unknown
104626777,Unknown
104646931,Cervus
104648993,Unknown
104703913,Unknown
104802886,Unknown
104920049,Unknown
104944200,Cyathea
105026551,Smeringurus
105031566,Platanus
105079902,Californicae
105339694,Metrosideros
105368688,Ficus
105399184,Unknown
105443633,Cervus
105614516,Platanus
105643288,Unknown
105707026,Californicae
105798984,Unknown
105903739,Unknown
106106261,Unknown
106322853,Unknown
106428457,Salix
106428458,Salix
106471936,Cervus
106471943,Cervus
106647601,Prunus
106746924,Prosopis
1068238,Unknown
106907652,Phoenix
106956350,Picea
106992334,Robinia
107014644,Unknown
107034306,Phoenix
107246121,Unknown
107292195,Dicksonia
107300290,Unknown
107300320,Unknown
107300334,Unknown
107300408,Californicae
107301061,Unknown
107317535,Unknown
107394615,Unknown
107622791,Pritchardia
107653281,Unknown
107725845,Unknown
107987772,Populus
10802273,Unknown
108172946,Lysiloma
108268288,Amazophrynella
108449764,Unknown
108450017,Unknown
108488322,Unknown
108488437,Unknown
108488525,Unknown
108488783,Unknown
108488978,Unknown
108563993,Unknown
108564127,Unknown
108569287,Vitex
108638034,Unknown
108775327,Quercus
109136682,Arecaceae
109160784,Unknown
109228233,Unknown
109228236,Unknown
109426566,Quercus
109426743,Quercus
