id,DBH,EpiHeight,EpiSize,EpiCount,TreeHeight,Setting,Moss,ObsGroup,GrowingSite,TreeSp,TreeGenus,DBH_raw,EpiHeight_raw,EpiSize_raw,EpiCount_raw,TreeHeight_raw,Setting_raw,Moss_raw,GrowingSite_raw,TreeSp_raw,quality_grade,observed_on,description,captive,uri,latitude,longitude,location,taxon.common,user_login,taxon.name,community_taxon_id,taxon.rank,taxon.status,taxon_id,source_project_ids,DBH_num,TreeHeight_num,EpiCount_num,photo_gallery,photo_urls_concat,EpiHeight_num,EpiSize_num,obs_date,dbh_txt,dbh_flag,dbh_note,n_obs,sum_individuals,family_id,family_name,class_id,class_name,genus_id,genus_name
100009457,0.9,8,0.125,,,Rural,,100009457,trunk,Betula,Betula,0.9,8,0.125,,,Rural,,trunk,Betula,research,2021/11/01 11:44 AM EDT,"Brasstown Bald, Georgia

Epiphytic - growing on a tree.",FALSE,https://www.inaturalist.org/observations/100009457,34.8742779,-83.8109073,"34.8742779,-83.8109073",rock polypody,mjpapay,Polypodium virginianum,54411,species,native,54411,accidental-epiphytes-united,0.9,,1,"<div><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/166851985/square.jpg""style=""margin:20px;""><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/166852213/square.jpg""style=""margin:20px;""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/166851985/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/166852213/square.jpg,8,0.125,2021-11-01,0.9,,,10,10,52679,Polypodiaceae,121943,Polypodiopsida,52680,Polypodium
100597079,,,,,,,yes,100597079,trunk,,Unknown,,,,,,,yes,trunk,,research,Sat Nov 06 2021 13:43:51 GMT+0000 (GMT),"",FALSE,https://www.inaturalist.org/observations/100597079,50.508675,-4.1502388333,"50.508675,-4.1502388333",Wall Pennywort,martinlayzell,Umbilicus rupestris,129454,species,native,129454,accidental-epiphytes-united,,,1,"<div><img src=""https://static.inaturalist.org/photos/167919465/square.jpg""style=""margin:20px;""></div>",https://static.inaturalist.org/photos/167919465/square.jpg,,,2021-11-06,,,,268,307,51890,Crassulaceae,47124,Magnoliopsida,129459,Umbilicus
100648833,,,,,,,,100648833,trunk,Salix,Salix,,,,,,,,trunk,Salix,research,2021-11-09 15:30:12,Epiphyte on willow,FALSE,https://www.inaturalist.org/observations/100648833,-43.68250162,172.45608976,"-43.68250162,172.45608976",Mikimiki,meurkc,Coprosma crassifolia,401012,species,endemic,401012,accidental-epiphytes-united,,,1,"<div><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168015281/square.jpeg""style=""margin:20px;""><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168015308/square.jpeg""style=""margin:20px;""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/168015281/square.jpeg|https://inaturalist-open-data.s3.amazonaws.com/photos/168015308/square.jpeg,,,2021-11-09,,,,4,4,47693,Rubiaceae,47124,Magnoliopsida,70254,Coprosma
100724024,,,,,,Urban,,100724024,crotch,Quercus,Quercus,,,,,,Urban,,crotch,Quercus,research,Tue Nov 09 2021 13:16:15 GMT-0500 (EST),Seedling growing in low crotch of old oak tree. ,FALSE,https://www.inaturalist.org/observations/100724024,39.6259083333,-75.750145,"39.6259083333,-75.750145",eastern poison ivy,richard_pearlstein,Toxicodendron radicans,58732,species,native,58732,accidental-epiphytes-united,,,1,"<div><img src=""https://static.inaturalist.org/photos/168137772/square.jpg""style=""margin:20px;""></div>",https://static.inaturalist.org/photos/168137772/square.jpg,,,2021-11-09,,,,4,5,48874,Anacardiaceae,47124,Magnoliopsida,51079,Toxicodendron
1007830,,,,,,Urban,,1007830,crotch,Chamaecyparis,Chamaecyparis,,,,,,Urban,,crotch,Chamaecyparis,research,2014-07-05,epiphytic,FALSE,http://naturewatch.org.nz/observations/411852,-43.5228761075,172.5749550299,"-43.5228761075,172.5749550299",European holly,meurkc,Ilex aquifolium,53856,species,introduced,53856,accidental-epiphytes-united,,,1,"<div><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1269118/square.""style=""margin:20px;""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/1269118/square.,,,2014-07-05,,,,49,56,53855,Aquifoliaceae,47124,Magnoliopsida,53854,Ilex
100873740,,5.5,,,,,,100873740,trunk,Prosopis,Prosopis,,5.5,,,,,,trunk,Prosopis,needs_id,2021-05-09 12:24:16,Está población de Mammillaria vive de forma epifita en la cima de los árboles de Mezquite a una altura de 5 a 6 metros,FALSE,https://www.inaturalist.org/observations/100873740,18.3636257268,-98.3567165583,"18.3636257268,-98.3567165583",pincushion cactuses,crish_coryphant,Mammillaria,68192,genus,native,68192,accidental-epiphytes-united,,,1,"<div><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168405769/square.jpeg""style=""margin:20px;""><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168405790/square.jpeg""style=""margin:20px;""><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168405810/square.jpeg""style=""margin:20px;""><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168406285/square.jpeg""style=""margin:20px;""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/168405769/square.jpeg|https://inaturalist-open-data.s3.amazonaws.com/photos/168405790/square.jpeg|https://inaturalist-open-data.s3.amazonaws.com/photos/168405810/square.jpeg|https://inaturalist-open-data.s3.amazonaws.com/photos/168406285/square.jpeg,5.5,,2021-05-09,,,,7,7,47903,Cactaceae,47124,Magnoliopsida,68192,Mammillaria
100904648,,,,,,,,100904648,,,Unknown,,,,,,,,,,research,2021/11/04 2:09 PM PDT,"",FALSE,https://www.inaturalist.org/observations/100904648,48.3179973446,-123.6571381429,"48.3179973446,-123.6571381429",Evergreen Huckleberry,iancruickshank,Vaccinium ovatum,48349,species,native,48349,accidental-epiphytes-united,,,1,"<div><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168462668/square.jpeg""style=""margin:20px;""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/168462668/square.jpeg,,,2021-11-04,,,,15,15,133387,Ericaceae,47124,Magnoliopsida,48353,Vaccinium
101372208,,1,,,,,,101372208,trunk,,Unknown,,1,,,,,,trunk,,research,Tue Nov 16 2021 16:06:23 GMT-0800 (PST),Growing as an epiphyte,FALSE,https://www.inaturalist.org/observations/101372208,42.9982383333,-124.4557583333,"42.9982383333,-124.4557583333",Western Rattlesnake Plantain,calebcatto,Goodyera oblongifolia,50719,species,native,50719,accidental-epiphytes-united,,,1,"<div><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/169289881/square.jpg""style=""margin:20px;""><img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/169289919/square.jpg""style=""margin:20px;""></div>",https://inaturalist-open-data.s3.amazonaws.com/photos/169289881/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/169289919/square.jpg,1,,2021-11-17,,,,10,11,47217,Orchidaceae,47163,Liliopsida,50718,Goodyera
101507846,,,,,,,,101507846,,Dicksonia squarrosa,Dicksonia,,,,,,,,,Dicksonia squarrosa,research,2021/11/20 9:16 AM NZDT,Epiphyte on wheki. ,FALSE,https://www.inaturalist.org/observations/101507846,-37.9389668329,175.0663156215,"-37.9389668329,175.0663156215",kāmahi,h_rogers,Pterophylla racemosa,1399819,species,endemic,1399819,accidental-epiphytes-united,,,1,"<div><img src=""https://static.inaturalist.org/photos/169533896/square.jpeg""style=""margin:20px;""></div>",https://static.inaturalist.org/photos/169533896/square.jpeg,,,2021-11-20,,,,10,10,71487,Cunoniaceae,47124,Magnoliopsida,1401750,Pterophylla
1015233,,,,,,,,1015233,,Phytoliriomyza flavopleura,Phytoliriomyza,,,,,,,,,395189,research,2014-09-14,"Locality: NEW ZEALAND AK, suburb of Saint Johns, St Johns Bush

Habitat: Epiphytic on tree fern.

Identification: Asplenium oblongifolium Colenso, 1845",FALSE,http://naturewatch.org.nz/observations/420073,-36.871767693,174.8413395882,"-36.871767693,174.8413395882",Shining Spleenwort,stephen_thorpe,Asplenium oblongifolium,210944,species,endemic,210944,accidental-epiphytes-united,,,1,"<div><img src=""https://static.inaturalist.org/photos/1276202/square.""style=""margin:20px;""></div>",https://static.inaturalist.org/photos/1276202/square.,,,2014-09-14,,,,37,37,64662,Aspleniaceae,121943,Polypodiopsida,71992,Asplenium
