Species_Flora_Europaea;Species_POWO;Family;Endozoochorous;Epizoochorous;Thalassochorous;Anemochorous;Myrmecochorous;Vertebrate_hoarding;Freshwater Hydrochorous;Ballochorous;Further clarification needed;Tree_or_Shrub;Synonyms;References
Abies alba;Abies alba Mill.;Pinaceae;0;0;0;1;0;0;0;0;;1;;
Abies cephalonica;Abies cephalonica Loudon;Pinaceae;0;0;0;1;0;0;0;0;;1;;
Abies pinsapo;Abies pinsapo Boiss.;Pinaceae;0;0;0;1;0;0;0;0;;1;;
Abutilon theophrasti;Abutilon theophrasti Medik.;Malvaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Acantholimon androsaceum;Acantholimon androsaceum (Jaub. & Spach) Boiss.;Plumbaginaceae;0;0;0;0;0;0;0;0;;1;;
Acanthus balcanicus;Acanthus hungaricus (Borbás) Baen.;Acanthaceae;0;0;0;0;0;0;0;1;;0;;Koller D. (2011) The restless plant. Harvard University Press.
Acanthus mollis;Acanthus mollis L.;Acanthaceae;0;0;0;0;0;0;0;1;;0;;
Acanthus spinosus;Acanthus spinosus L.;Acanthaceae;0;0;0;0;0;0;0;1;;0;;
Acer campestre;Acer campestre L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer granatense;Acer granatense Boiss.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer heldreichii;Acer heldreichii Orph. ex Boiss.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer hyrcanum;Acer hyrcanum Fisch. & C.A.Mey.;Sapindaceae;0;0;0;1;0;0;0;0;;1;Acer reginae-amaliae;
Acer lobelii;Acer cappadocicum Gled.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer monspessulanum;Acer monspessulanum L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer opalus;Acer opalus Mill.;Sapindaceae;0;0;0;1;0;0;0;0;;1;Acer obtusatum;
Acer platanoides;Acer platanoides L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer pseudoplatanus;Acer pseudoplatanus L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer sempervirens;Acer sempervirens L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer tataricum;Acer tataricum L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Aceras anthropophorum;Orchis anthropophora (L.) All.;Orchidaceae;0;0;0;0;0;0;0;0;;0;;Aronne G. & Wilcock C.C. (1994) First evidence of myrmecochory in fleshy-fruited shrubs of the Mediterranean region. New Phytologist 127(4): 781-788
Achillea abrotanoides;Achillea abrotanoides (Vis.) Vis.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea absinthoides;Achillea absinthoides Halácsy;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea aegyptiaca;Achillea aegyptiaca L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea ageratifolia;Achillea ageratifolia (Sm.) Benth. & Hook.f.;Asteraceae ;0;0;0;0;0;0;0;0;;0;Achillea serbica;
Achillea ageratum;Achillea ageratum L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea ambrosiaca;Achillea ambrosiaca (Boiss. & Heldr.) Boiss.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea asplenifolia;Achillea aspleniifolia Vent.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea atrata;Achillea atrata L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea barbeyana;Achillea barbeyana Heldr. & Heimerl;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea barrelieri;Achillea barrelieri (Ten.) Sch.Bip.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea biebersteinii;Achillea arabica Kotschy;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea cartilaginea;Achillea salicifolia Besser ex DC.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea chamaemelifolia;Achillea chamaemelifolia Pourr.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea chrysocoma;Achillea chrysocoma Friv.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea clavennae;Achillea clavennae L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea clusiana;Achillea clusiana Tausch;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
