Site;TreeCat;NumberTrees
Site1;10--30;81
Site1;30--60;113
Site1;60--90;0
Site1;90+;0
Site2;10--30;31
Site2;30--60;25
Site2;60--90;5
Site2;90+;0
Site3;10--30;34
Site3;30--60;25
Site3;60--90;14
Site3;90+;1
Site4;10--30;
Site4;30--60;
Site4;60--90;
Site4;90+;
Site5;10--30;29
Site5;30--60;17
Site5;60--90;12
Site5;90+;1
Site6;10--30;
Site6;30--60;
Site6;60--90;
Site6;90+;
Site7;10--30;105
Site7;30--60;29
Site7;60--90;0
Site7;90+;0
Site8;10--30;63
Site8;30--60;32
Site8;60--90;21
Site8;90+;0
Site9;10--30;50
Site9;30--60;32
Site9;60--90;12
Site9;90+;1
Site10;10--30;
Site10;30--60;
Site10;60--90;
Site10;90+;
Site11;10--30;
Site11;30--60;
Site11;60--90;
Site11;90+;
Site12;10--30;59
Site12;30--60;15
Site12;60--90;8
Site12;90+;5
Site13;10--30;30
Site13;30--60;20
Site13;60--90;10
Site13;90+;1
Site14;10--30;30
Site14;30--60;29
Site14;60--90;22
Site14;90+;2
Site15;10--30;0
Site15;30--60;23
Site15;60--90;11
Site15;90+;9
Site16;10--30;20
Site16;30--60;27
Site16;60--90;5
Site16;90+;0
Site17;10--30;39
Site17;30--60;36
Site17;60--90;11
Site17;90+;3
Site18;10--30;60
Site18;30--60;41
Site18;60--90;5
Site18;90+;0
Site19;10--30;146
Site19;30--60;130
Site19;60--90;22
Site19;90+;7
Site20;10--30;37
Site20;30--60;30
Site20;60--90;22
Site20;90+;5
Site21;10--30;33
Site21;30--60;19
Site21;60--90;12
Site21;90+;1
Site22;10--30;81
Site22;30--60;11
Site22;60--90;15
Site22;90+;10
Site23;10--30;55
Site23;30--60;39
Site23;60--90;11
Site23;90+;3
Site24;10--30;68
Site24;30--60;43
Site24;60--90;4
Site24;90+;1
Site25;10--30;57
Site25;30--60;56
Site25;60--90;18
Site25;90+;8
Site26;10--30;100
Site26;30--60;3
Site26;60--90;0
Site26;90+;0
Site27;10--30;223
Site27;30--60;5
Site27;60--90;0
Site27;90+;0
Site28;10--30;61
Site28;30--60;30
Site28;60--90;8
Site28;90+;0
Site29;10--30;97
Site29;30--60;47
Site29;60--90;6
Site29;90+;0
Site30;10--30;89
Site30;30--60;26
Site30;60--90;2
Site30;90+;0
Site31;10--30;35
Site31;30--60;14
Site31;60--90;3
Site31;90+;1
Site32;10--30;166
Site32;30--60;25
Site32;60--90;3
Site32;90+;2
Site33;10--30;47
Site33;30--60;25
Site33;60--90;5
Site33;90+;1
Site34;10--30;97
Site34;30--60;74
Site34;60--90;9
Site34;90+;3
Site35;10--30;164
Site35;30--60;79
Site35;60--90;7
Site35;90+;1
Site36;10--30;165
Site36;30--60;2
Site36;60--90;0
Site36;90+;0
Site37;10--30;90
Site37;30--60;50
Site37;60--90;1
Site37;90+;0
Site38;10--30;70
Site38;30--60;52
Site38;60--90;0
Site38;90+;0
Site39;10--30;34
Site39;30--60;46
Site39;60--90;28
Site39;90+;0
Site40;10--30;60
Site40;30--60;50
Site40;60--90;13
Site40;90+;1
