site;treeid;dbh.cm;height.coppice;height.total;n.epis;dbh;treesp;notes
Site4;4T1;56;1.76;1.76;;0.56;willow;
Site4;4T2;40;1.8;1.8;;0.4;willow;
Site4;4T3;40;1.8;1.8;;0.4;willow;
Site4;4T4;30;1.4;4;;0.3;willow;
Site4;4T5;30;2;2;;0.3;willow;
Site4;4T6;50;2.5;5;;0.5;willow;
Site4;4T7;45;2.1;2.1;;0.45;willow;
Site4;4T8;50;2.2;5;;0.5;willow;
Site4;4T9;52;2.2;2.2;;0.52;willow;
Site4;4T10;60;1.6;4;;0.6;willow;
Site4;4T11;38;1.9;1.9;;0.38;willow;
Site4;4T12;34;;10;0;0.34;;
Site4;4T13;35;1.7;3;;0.35;willow;
Site4;4T14;84;;11;;0.84;;
Site4;4T15;30;2;2;;0.3;willow;
Site4;4T16;36;2.3;5;;0.36;willow;
Site4;4T17;32;1.7;1.7;;0.32;willow;
Site4;4T18;30;1.7;4;0;0.3;willow;
Site4;4T19;55;2;2;;0.55;willow;
Site4;4T20;20;2;6;0;0.2;willow;
Site4;4T21;60;2;2;;0.6;willow;
Site4;4T22;70;1.8;4;;0.7;willow;
Site4;4T23;80;1.8;1.8;;0.8;willow;
Site4;4T24;43;1.7;3;;0.43;willow;
Site4;4T25;44;2.2;2.2;;0.44;willow;
Site4;4T26;71;1.5;4;;0.71;willow;
Site4;4T27;63;2.5;2.5;;0.63;willow;
Site4;4T28;45;2.3;5;;0.45;willow;
Site4;4T29;47;2.3;2.3;;0.47;willow;
Site4;4T30;40;1.5;3;;0.4;willow;
Site4;4T31;40;1.7;1.7;;0.4;willow;
Site4;4T32;33;;10;;0.33;;
Site4;4T33;38;1.9;1.9;;0.38;willow;
Site4;4T34;35;;???2.5;;0.35;;
Site4;4T35;55;1.6;3;;0.55;willow;
Site4;4T36;50;2.3;2.3;;0.5;willow;
Site4;4T37;80;1.7;4;;0.8;willow;
Site4;4T38;75;1.2;1.2;;0.75;willow;stomp, dead
Site4;4T39;47;;10;0;0.47;;
Site4;4T40;64;2.2;4;;0.64;willow;
Site4;4T41;55;1.7;1.7;;0.55;willow;
Site4;4T42;40;1.9;4;;0.4;willow;
Site4;4T43;70;2;4;;0.7;willow;
Site4;4T44;50;2.4;2.4;;0.5;willow;
Site4;4T45;47;2.1;4;;0.47;willow;
Site4;4T46;43;2;5;;0.43;willow;
Site4;4T47;60;1.8;1.8;;0.6;willow;
Site4;4T48;44;1.7;4;;0.44;willow;
Site4;4T49;39;1.5;3;;0.39;willow;
Site4;4T50;42;1.9;1.9;;0.42;willow;
Site4;4T51;44;;11;0;0.44;;
Site6;6T1;4;1.8;2.5;;0.04;willow;
Site6;6T2;4;1.9;3;;0.04;willow;
Site6;6T3;38;2.2;5;;0.38;willow;
Site6;6T4;37;2;5;;0.37;willow;
Site6;6T5;41;2.2;5;;0.41;willow;
Site6;6T6;48;2.2;5;;0.48;willow;
Site6;6T7;40;1.1;5;;0.4;willow;
Site6;6T8;43;2.1;5;;0.43;willow;
Site6;6T9;46;2.2;5.5;;0.46;willow;
Site6;6T10;52;2.2;5.5;;0.52;willow;
Site6;6T11;56;2.2;5.5;;0.56;willow;
Site6;6T12;57;2.2;6;;0.57;willow;
Site6;6T13;48;2.5;6;;0.48;willow;
Site6;6T14;67;2.4;6;;0.67;willow;
Site6;6T15;22;2.4;4;;0.22;willow;
Site6;6T16;19;1.7;4;;0.19;willow;
Site6;6T17;28;1.8;4;;0.28;willow;
Site6;6T18;40;1.7;4.5;;0.4;willow;
Site6;6T19;40;2;4.5;;0.4;willow;
Site6;6T20;28;1.7;4;;0.28;willow;
Site6;6T21;38;1.8;4;;0.38;willow;
Site6;6T22;35;2;4;;0.35;willow;
Site6;6T23;24;1.8;4;;0.24;willow;
Site6;6T24;28;1.9;4;;0.28;willow;
Site6;6T25;19;1.8;4;;0.19;willow;
Site6;6T26;18;1.6;3.5;;0.18;willow;
Site6;6T27;22;1.8;4;;0.22;willow;
Site6;6T28;25;1.9;4;;0.25;willow;
Site6;6T29;23;1.8;4;;0.23;willow;
Site6;6T30;25;1.8;5;;0.25;willow;
Site6;6T31;28;1.9;5;;0.28;willow;
Site6;6T32;22;1.8;5;;0.22;willow;
Site6;6T33;10;1.7;4.5;;0.1;willow;
Site6;6T34;18;1.8;4.5;;0.18;willow;
Site6;6T35;25;1.7;4.5;;0.25;willow;
Site6;6T36;25;1.6;4;;0.25;willow;
Site6;6T37;22;1.8;4;;0.22;willow;
Site6;6T38;17;1.8;3.5;;0.17;willow;
Site6;6T39;10;1.8;3.5;;0.1;willow;
Site6;6T40;150;25;25;0;1.5;poplar;
Site6;6T41;53;15;15;0;0.53;?;
Site6;6T42;70;20;20;0;0.7;ash;
Site6;6T43;68;20;20;0;0.68;ash;
Site6;6T44;84;20;20;0;0.84;ash;
Site6;6T45;68;20;20;0;0.68;oak;
Site6;6T46;97;20;20;0;0.97;oak;
Site6;6T47;130;25;25;0;1.3;poplar;
Site6;6T48;130;25;25;0;1.3;poplar;
Site6;6T49;140;25;25;0;1.4;poplar;
Site6;6T50;50;15;15;0;0.5;oak;
Site6;6T51;51;15;15;0;0.51;oak;
Site6;6T52;52;15;15;0;0.52;oak;
Site10;10T01;45;3;7;1;0.45;willow;
Site10;10T02;41;2.8;7;0;0.41;willow;
Site10;10T03;40;2.8;7;0;0.4;willow;
Site10;10T04;34;2.6;7;2;0.34;willow;
Site10;10T05;38;;8;0;0.38;pine;
Site10;10T06;33;2.4;7;0;0.33;willow;
Site10;10T07;39;2.5;7;1;0.39;willow;
Site10;10T08;38;2.5;7;0;0.38;willow;
Site10;10T09;33;2.5;7;2;0.33;willow;
Site10;10T10;37;2.6;7;3;0.37;willow;
Site10;10T11;41;2.5;7;0;0.41;willow;
Site10;10T12;38;2.5;7;0;0.38;willow;
Site10;10T13;33;2.5;7;1;0.33;willow;
Site10;10T14;31;2.5;7;0;0.31;willow;
Site10;10T15;35;2.5;7;0;0.35;willow;
Site10;10T16;30;2.5;7;0;0.3;willow;
Site10;10T17;35;2.5;7;0;0.35;willow;
Site10;10T18;34;2.4;7;0;0.34;willow;
Site10;10T19;38;2.5;7;0;0.38;willow;
Site10;10T20;43;2.5;7;1;0.43;willow;
Site10;10T21;31;2.3;7;1;0.31;willow;
Site10;10T22;31;2.5;7;1;0.31;willow;
Site10;10T23;34;2.5;7;0;0.34;willow;
Site10;10T24;33;2.5;7;0;0.33;willow;
Site10;10T25;35;2.8;7;0;0.35;willow;
Site10;10T26;36;2.8;7;1;0.36;willow;
Site10;10T27;34;2.7;7;1;0.34;willow;
Site10;10T28;39;2.7;7;2;0.39;willow;
Site10;10T29;33;2;7;0;0.33;willow;
Site10;10T30;33;2.3;7;3;0.33;willow;
Site10;10T31;32;2.3;7;3;0.32;willow;
Site10;10T32;26;2;7;5;0.26;willow;
Site10;10T33;28;2.2;7;0;0.28;willow;
Site10;10T34;27;2;7;0;0.27;willow;
Site10;10T35;49;2.7;7;3;0.49;willow;
Site10;10T36;33;2.7;7;1;0.33;willow;
Site10;10T37;35;2.8;7;0;0.35;willow;
Site10;10T38;31;2.7;7;0;0.31;willow;
Site10;10T39;32;2.8;7;0;0.32;willow;
Site10;10T40;39;2.7;7;0;0.39;willow;
Site10;10T41;32;3;7;2;0.32;willow;
Site10;10T42;37;2.8;7;0;0.37;willow;
Site10;10T43;38;2.6;7;0;0.38;willow;
Site10;10T44;41;2.8;7;2;0.41;willow;
Site10;10T45;30;2.7;7;0;0.3;willow;
Site10;10T46;33;2.7;7;0;0.33;willow;
Site10;10T47;26;2.7;7;0;0.26;willow;
Site10;10T48;27;2.8;7;1;0.27;willow;
Site10;10T49;33;2.8;7;1;0.33;willow;
Site10;10T50;30;2.7;7;0;0.3;willow;
Site11;11T01;90;4;4;;0.9;willow;
Site11;11T02;100;2;2;;1;willow;
Site11;11T03;100;3;3;;1;willow;
Site11;11T04;80;2;2;;0.8;willow;
Site11;11T05;90;3;3;;0.9;willow;
Site11;11T06;88;4;4;;0.88;willow;
Site11;11T07;80;3;3;;0.8;willow;
Site11;11T08;80;2;2;;0.8;willow;
Site11;11T09;65;3;3;;0.65;willow;
Site11;11T10;100;3;12;;1;willow;
Site15;15T1;90;2;2;;0.9;willow;
Site15;15T2;100;2;2.5;;1;willow;
Site15;15T3;100;2.5;3;;1;willow;
Site15;15T4;80;2.5;5;;0.8;willow;
