site,lat,lon,id,taxon.name,quality_grade,presence
S01,52.45567,5.43411,no_id,no_taxon,no_taxon,0
S02,52.47335,5.42394,no_id,no_taxon,no_taxon,0
S02,52.47335,5.42394,270991012,Fagus sylvatica,research,1
S03,52.3742974,4.5816766,no_id,no_taxon,no_taxon,0
S03,52.3742974,4.5816766,277630707,Dryopteris,needs_id,1
S03,52.3742974,4.5816766,272403824,Dryopteris dilatata,needs_id,1
S03,52.3742974,4.5816766,272402245,Hedera helix,needs_id,1
S04,52.1261161,4.4632246,no_id,no_taxon,no_taxon,0
S04,52.1261161,4.4632246,277653936,Euonymus,needs_id,1
S04,52.1261161,4.4632246,277653940,Euonymus europaeus,needs_id,1
S04,52.1261161,4.4632246,277653938,Prunus padus,needs_id,1
S04,52.1261161,4.4632246,277653933,Cornus sanguinea,needs_id,1
S04,52.1261161,4.4632246,277653935,Apioideae,needs_id,1
S04,52.1261161,4.4632246,277655040,Glechoma,needs_id,1
S04,52.1261161,4.4632246,277655038,Glechoma,needs_id,1
S04,52.1261161,4.4632246,277655750,Anthriscus sylvestris,needs_id,1
S04,52.1261161,4.4632246,277655749,Anthriscus sylvestris,needs_id,1
S04,52.1261161,4.4632246,277656597,Heracleum,needs_id,1
S04,52.1261161,4.4632246,277657055,Urtica dioica,needs_id,1
S04,52.1261161,4.4632246,277657434,Poa annua,needs_id,1
S04,52.1261161,4.4632246,277659957,Galium,needs_id,1
S04,52.1261161,4.4632246,277659955,Sambucus nigra,needs_id,1
S04,52.1261161,4.4632246,277659951,Sambucus nigra,needs_id,1
S04,52.1261161,4.4632246,277660759,Sambucus nigra,needs_id,1
S04,52.1261161,4.4632246,277662352,Taraxacum officinale,needs_id,1
S04,52.1261161,4.4632246,277662354,Poa,needs_id,1
S04,52.1261161,4.4632246,277662353,Poa,needs_id,1
S04,52.1261161,4.4632246,277670217,Glechoma hederacea,research,1
S04,52.1261161,4.4632246,277672333,Poaceae,needs_id,1
S04,52.1261161,4.4632246,277672331,Alliaria petiolata,research,1
S04,52.1261161,4.4632246,277672329,Anthriscus sylvestris,needs_id,1
S04,52.1261161,4.4632246,277672334,Fraxinus excelsior,needs_id,1
S04,52.1261161,4.4632246,277672330,Galium aparine,needs_id,1
S04,52.1261161,4.4632246,277672992,Fraxinus excelsior,needs_id,1
S04,52.1261161,4.4632246,277673494,Sambucus nigra,needs_id,1
S04,52.1261161,4.4632246,277675473,Glechoma hederacea,research,1
S04,52.1261161,4.4632246,277675470,Glechoma hederacea,research,1
S04,52.1261161,4.4632246,277675471,Anthriscus sylvestris,needs_id,1
S04,52.1261161,4.4632246,277715331,Acer pseudoplatanus,needs_id,1
S04,52.1261161,4.4632246,277715334,Sambucus nigra,needs_id,1
S04,52.1261161,4.4632246,277716380,Fraxinus excelsior,needs_id,1
S04,52.1261161,4.4632246,278307057,Sambucus nigra,needs_id,1
