site,id,lat,lon,presence,island_class
S01,no_id,52.45567,5.43411,0,land
S02,no_id,52.47335,5.42394,0,land
S02,270991012,52.47335,5.42394,1,land
S03,no_id,52.3742974,4.5816766,0,land
S03,277630707,52.3742974,4.5816766,1,land
S03,272403824,52.3742974,4.5816766,1,land
S03,272402245,52.3742974,4.5816766,1,land
S04,no_id,52.1261161,4.4632246,0,land
S04,277653936,52.1261161,4.4632246,1,land
S04,277653940,52.1261161,4.4632246,1,land
S04,277653938,52.1261161,4.4632246,1,land
S04,277653933,52.1261161,4.4632246,1,land
S04,277653935,52.1261161,4.4632246,1,land
S04,277655040,52.1261161,4.4632246,1,land
S04,277655038,52.1261161,4.4632246,1,land
S04,277655750,52.1261161,4.4632246,1,land
S04,277655749,52.1261161,4.4632246,1,land
S04,277656597,52.1261161,4.4632246,1,land
S04,277657055,52.1261161,4.4632246,1,land
S04,277657434,52.1261161,4.4632246,1,land
S04,277659957,52.1261161,4.4632246,1,land
S04,277659955,52.1261161,4.4632246,1,land
S04,277659951,52.1261161,4.4632246,1,land
S04,277660759,52.1261161,4.4632246,1,land
S04,277662352,52.1261161,4.4632246,1,land
S04,277662354,52.1261161,4.4632246,1,land
S04,277662353,52.1261161,4.4632246,1,land
S04,277670217,52.1261161,4.4632246,1,land
S04,277672333,52.1261161,4.4632246,1,land
S04,277672331,52.1261161,4.4632246,1,land
S04,277672329,52.1261161,4.4632246,1,land
S04,277672334,52.1261161,4.4632246,1,land
S04,277672330,52.1261161,4.4632246,1,land
S04,277672992,52.1261161,4.4632246,1,land
S04,277673494,52.1261161,4.4632246,1,land
S04,277675473,52.1261161,4.4632246,1,land
S04,277675470,52.1261161,4.4632246,1,land
S04,277675471,52.1261161,4.4632246,1,land
S04,277715331,52.1261161,4.4632246,1,land
S04,277715334,52.1261161,4.4632246,1,land
S04,277716380,52.1261161,4.4632246,1,land
S04,278307057,52.1261161,4.4632246,1,land
S04,278308720,52.1261161,4.4632246,1,land
S04,278308725,52.1261161,4.4632246,1,land
S04,278308729,52.1261161,4.4632246,1,land
S04,278308727,52.1261161,4.4632246,1,land
S04,278310204,52.1261161,4.4632246,1,land
S04,278310210,52.1261161,4.4632246,1,land
S04,278310214,52.1261161,4.4632246,1,land
S04,278312060,52.1261161,4.4632246,1,land
S04,278314849,52.1261161,4.4632246,1,land
S04,278314850,52.1261161,4.4632246,1,land
S04,278318320,52.1261161,4.4632246,1,land
S04,278318321,52.1261161,4.4632246,1,land
S04,278318324,52.1261161,4.4632246,1,land
S04,278318325,52.1261161,4.4632246,1,land
S04,278321963,52.1261161,4.4632246,1,land
S04,278321962,52.1261161,4.4632246,1,land
S04,278321970,52.1261161,4.4632246,1,land
S04,278321976,52.1261161,4.4632246,1,land
S04,278321974,52.1261161,4.4632246,1,land
S04,278321978,52.1261161,4.4632246,1,land
S04,278321975,52.1261161,4.4632246,1,land
S04,278323307,52.1261161,4.4632246,1,land
S04,278327498,52.1261161,4.4632246,1,land
S04,278327488,52.1261161,4.4632246,1,land
S04,278327493,52.1261161,4.4632246,1,land
S04,278327485,52.1261161,4.4632246,1,land
S04,278327499,52.1261161,4.4632246,1,land
S04,278327495,52.1261161,4.4632246,1,land
S04,278327486,52.1261161,4.4632246,1,land
S04,278327494,52.1261161,4.4632246,1,land
S04,278327938,52.1261161,4.4632246,1,land
S04,277663744,52.1261161,4.4632246,1,land
S04,277669262,52.1261161,4.4632246,1,land
S04,277711086,52.1261161,4.4632246,1,land
S04,277711082,52.1261161,4.4632246,1,land
S04,277711076,52.1261161,4.4632246,1,land
S04,277711078,52.1261161,4.4632246,1,land
S04,277711084,52.1261161,4.4632246,1,land
S04,277711093,52.1261161,4.4632246,1,land
S04,277711081,52.1261161,4.4632246,1,land
S04,277711080,52.1261161,4.4632246,1,land
S04,277713075,52.1261161,4.4632246,1,land
S04,277713074,52.1261161,4.4632246,1,land
S04,277713088,52.1261161,4.4632246,1,land
S04,277713073,52.1261161,4.4632246,1,land
S04,277714330,52.1261161,4.4632246,1,land
S04,277714333,52.1261161,4.4632246,1,land
S04,278305058,52.1261161,4.4632246,1,land
S04,278305056,52.1261161,4.4632246,1,land
S04,278305059,52.1261161,4.4632246,1,land
S04,278306675,52.1261161,4.4632246,1,land
S04,278306669,52.1261161,4.4632246,1,land
S04,278306674,52.1261161,4.4632246,1,land
S04,278306671,52.1261161,4.4632246,1,land
S04,278312065,52.1261161,4.4632246,1,land
S04,278312066,52.1261161,4.4632246,1,land
S04,278312064,52.1261161,4.4632246,1,land
S04,278314839,52.1261161,4.4632246,1,land
S04,278314843,52.1261161,4.4632246,1,land
S04,278314844,52.1261161,4.4632246,1,land
S04,278319759,52.1261161,4.4632246,1,land
S04,278319758,52.1261161,4.4632246,1,land
S04,278319754,52.1261161,4.4632246,1,land
S04,278319760,52.1261161,4.4632246,1,land
S04,278323301,52.1261161,4.4632246,1,land
S05,277642770,52.1314008,4.3349636,1,land
S05,277642767,52.1314008,4.3349636,1,land
S05,277642765,52.1314008,4.3349636,1,land
S05,277642758,52.1314008,4.3349636,1,land
S05,277642771,52.1314008,4.3349636,1,land
S05,277636807,52.1314008,4.3349636,1,land
S05,277636816,52.1314008,4.3349636,1,land
S05,277636813,52.1314008,4.3349636,1,land
S05,277642780,52.1314008,4.3349636,1,land
S05,277642779,52.1314008,4.3349636,1,land
S05,277636803,52.1314008,4.3349636,1,land
S05,277636800,52.1314008,4.3349636,1,land
S06,no_id,52.1593306,4.5311344,0,land
S06,278681688,52.1593306,4.5311344,1,land
S06,278681701,52.1593306,4.5311344,1,land
S06,278681702,52.1593306,4.5311344,1,land
S06,278681704,52.1593306,4.5311344,1,land
S06,278681705,52.1593306,4.5311344,1,land
S06,278332228,52.1593306,4.5311344,1,land
S06,278671990,52.1593306,4.5311344,1,land
S06,278671989,52.1593306,4.5311344,1,land
S06,278671997,52.1593306,4.5311344,1,land
S06,278671992,52.1593306,4.5311344,1,land
S06,278671993,52.1593306,4.5311344,1,land
S06,278671999,52.1593306,4.5311344,1,land
S06,278672001,52.1593306,4.5311344,1,land
S06,278674088,52.1593306,4.5311344,1,land
S06,278674085,52.1593306,4.5311344,1,land
S06,278674090,52.1593306,4.5311344,1,land
S06,278674086,52.1593306,4.5311344,1,land
S06,278674087,52.1593306,4.5311344,1,land
S06,278674091,52.1593306,4.5311344,1,land
S06,278674084,52.1593306,4.5311344,1,land
S06,278675446,52.1593306,4.5311344,1,land
S06,278675447,52.1593306,4.5311344,1,land
S06,278675458,52.1593306,4.5311344,1,land
S06,278675456,52.1593306,4.5311344,1,land
S06,278676707,52.1593306,4.5311344,1,land
S06,278676712,52.1593306,4.5311344,1,land
S06,278676708,52.1593306,4.5311344,1,land
S06,278676719,52.1593306,4.5311344,1,land
S06,278676715,52.1593306,4.5311344,1,land
S06,278678044,52.1593306,4.5311344,1,land
S06,278678048,52.1593306,4.5311344,1,land
S06,278678050,52.1593306,4.5311344,1,land
S06,278678051,52.1593306,4.5311344,1,land
S06,278681692,52.1593306,4.5311344,1,land
S06,278681697,52.1593306,4.5311344,1,land
S06,278678860,52.1593306,4.5311344,1,land
S06,278678854,52.1593306,4.5311344,1,land
S06,278678858,52.1593306,4.5311344,1,land
S07,279871606,51.579664,3.6576714,1,land
S07,279871605,51.579664,3.6576714,1,land
S07,no_id,51.579664,3.6576714,0,land
S08,no_id,51.345665,3.3183843,0,land
S09,no_id,51.2204736,2.9227499,0,land
S09,280955936,51.2204736,2.9227499,1,land
S09,280955942,51.2204736,2.9227499,1,land
S09,280955943,51.2204736,2.9227499,1,land
S09,280955945,51.2204736,2.9227499,1,land
S09,280955941,51.2204736,2.9227499,1,land
S09,280955939,51.2204736,2.9227499,1,land
S09,280955944,51.2204736,2.9227499,1,land
S09,280956579,51.2204736,2.9227499,1,land
S09,280956582,51.2204736,2.9227499,1,land
S10,281559085,51.1390568,2.7158335,1,land
S10,281559080,51.1390568,2.7158335,1,land
S10,281559083,51.1390568,2.7158335,1,land
S10,281559079,51.1390568,2.7158335,1,land
S10,281687515,51.1390568,2.7158335,1,land
S10,281687525,51.1390568,2.7158335,1,land
S10,281434392,51.1390568,2.7158335,1,land
S10,281434393,51.1390568,2.7158335,1,land
S10,281434394,51.1390568,2.7158335,1,land
S10,281434396,51.1390568,2.7158335,1,land
S10,281548765,51.1390568,2.7158335,1,land
S10,281548763,51.1390568,2.7158335,1,land
S10,281548772,51.1390568,2.7158335,1,land
S10,281548770,51.1390568,2.7158335,1,land
S10,281548773,51.1390568,2.7158335,1,land
S10,281552603,51.1390568,2.7158335,1,land
S10,281552604,51.1390568,2.7158335,1,land
S10,281552605,51.1390568,2.7158335,1,land
S10,281552611,51.1390568,2.7158335,1,land
S10,281552613,51.1390568,2.7158335,1,land
S10,281552616,51.1390568,2.7158335,1,land
S10,281556503,51.1390568,2.7158335,1,land
S10,281556502,51.1390568,2.7158335,1,land
S10,281556517,51.1390568,2.7158335,1,land
S10,281556509,51.1390568,2.7158335,1,land
S10,281556506,51.1390568,2.7158335,1,land
S10,281556508,51.1390568,2.7158335,1,land
S10,281559076,51.1390568,2.7158335,1,land
S10,281687516,51.1390568,2.7158335,1,land
S10,281687517,51.1390568,2.7158335,1,land
S10,281687518,51.1390568,2.7158335,1,land
S10,281687519,51.1390568,2.7158335,1,land
S10,281687520,51.1390568,2.7158335,1,land
S10,281687521,51.1390568,2.7158335,1,land
S10,281687522,51.1390568,2.7158335,1,land
S10,281687524,51.1390568,2.7158335,1,land
S10,281687526,51.1390568,2.7158335,1,land
S11,283072815,51.0903012,2.6110195,1,land
S11,283083818,51.0903012,2.6110195,1,land
S11,283083819,51.0903012,2.6110195,1,land
S11,283084505,51.0903012,2.6110195,1,land
S11,283084502,51.0903012,2.6110195,1,land
S11,283085722,51.0903012,2.6110195,1,land
S11,283085719,51.0903012,2.6110195,1,land
S11,282934786,51.0903012,2.6110195,1,land
S11,282934783,51.0903012,2.6110195,1,land
S11,282934785,51.0903012,2.6110195,1,land
S11,282938640,51.0903012,2.6110195,1,land
S11,282938646,51.0903012,2.6110195,1,land
