site,lon,lat,setting,total_trees,n_epis,n_sp,spp_exp100,level_used,reached_100,indiv_per10,indiv_per100
S01,5.43411,52.45567,forest,194,0,0,0,0,FALSE,0,0
S02,5.42394,52.47335,forest,61,0,0,1,61,FALSE,0,0
S03,4.5816766,52.3742974,forest,74,0,0,3.88176326062171,100,TRUE,0,0
S04,4.4632246,52.1261161,non-forest,51,0,0,47.6057846135197,100,TRUE,0,0
S05,4.3349636,52.1314008,forest,59,13,3,3.73818824990186,100,TRUE,2.20338983050847,22.0338983050848
S06,4.5311344,52.1593306,non-forest,52,0,0,22.1418653061689,100,TRUE,0,0
S07,3.6576714,51.579664,forest,134,2,2,1.49253731343284,100,TRUE,0.149253731343284,1.49253731343284
S08,3.3183843,51.345665,forest,116,0,0,0,0,FALSE,0,0
S09,2.9227499,51.2204736,non-forest,95,0,0,7.25657015845752,100,TRUE,0,0
S10,2.7158335,51.1390568,non-forest,50,43,18,25.4455184142968,100,TRUE,8.6,86
S11,2.6110195,51.0903012,non-forest,10,42,13,16.8445976913343,20,FALSE,42,420
S12,2.59384,51.08843,forest,87,0,0,4.27587650854065,100,TRUE,0,0
S13,1.59683,50.65951,forest,61,0,0,3.70979971938858,100,TRUE,0,0
S14,1.74377,50.11466,forest,83,0,0,1,83,FALSE,0,0
S15,1.7393024,50.1335389,non-forest,43,0,0,28.0075987916139,86,FALSE,0,0
S16,1.17309,49.88844,forest,52,0,0,0,0,FALSE,0,0
S17,0.18589,49.40466,forest,89,8,3,3.34670263610793,100,TRUE,0.898876404494382,8.98876404494382
S18,0.1858556,49.4047619,forest,106,0,0,0,0,FALSE,0,0
S19,-1.2467049,49.589478,non-forest,305,50,21,8.53073023888727,100,TRUE,1.63934426229508,16.3934426229508
S20,-2.21001,49.71196,forest,94,0,0,1,94,FALSE,0,0
S21,-2.35531,49.42511,forest,65,0,0,3.82469803050631,100,TRUE,0,0
S22,-2.44848,49.46779,forest,117,0,0,3.41880341880342,100,TRUE,0,0
S23,-2.5379502,49.4363576,forest,108,6,2,1.92107995846314,100,TRUE,0.555555555555556,5.55555555555556
S24,-2.0409439,49.2235024,forest,116,25,6,5.54997070630963,100,TRUE,2.1551724137931,21.551724137931
S25,-1.8508795,48.6920164,forest,139,0,0,0,0,FALSE,0,0
S26,-4.5127166,48.2086909,forest,103,0,0,0,0,FALSE,0,0
S27,-4.5106993,48.212261,forest,228,0,0,0,0,FALSE,0,0
S28,-4.5461875,48.0353798,forest,99,4,2,2.00989898989899,100,TRUE,0.404040404040404,4.04040404040404
S29,-3.9467547,47.8927817,forest,150,0,0,0.988632928230244,100,TRUE,0,0
S30,-2.9570603,47.6413882,forest,117,61,1,1,100,TRUE,5.21367521367521,52.1367521367521
S31,-2.2215573,47.0080376,forest,53,127,2,2,100,TRUE,23.9622641509434,239.622641509434
S32,-2.3719248,46.7133222,forest,196,0,0,0.510204081632646,100,TRUE,0,0
S33,-2.3561117,46.718419,forest,78,27,2,2,100,TRUE,3.46153846153846,34.6153846153846
S34,-1.826879,46.5707033,forest,183,0,0,0.546448087431688,100,TRUE,0,0
S35,-1.3560716,46.1851477,forest,251,8,3,1.19521912350595,100,TRUE,0.318725099601594,3.18725099601594
S36,-1.2783358,45.9862316,forest,167,0,0,0,0,FALSE,0,0
S37,-1.2827651,45.9809812,forest,141,0,0,0.976689772801819,100,TRUE,0,0
S38,-1.0875819,45.5527465,forest,122,0,0,0.81967213114754,100,TRUE,0,0
S39,-1.5124803,43.5107536,forest,108,9,2,1.85185185185185,100,TRUE,0.833333333333333,8.33333333333333
S40,-1.822395,43.3718997,forest,124,0,0,0,0,FALSE,0,0
