family,genus,species,n_sites,S02,S03,S04,S05,S06,S07,S09,S10,S11,S12,S13,S14,S15,S17,S19,S20,S21,S22,S23,S24,S28,S29,S30,S31,S32,S33,S34,S35,S37,S38,S39
,Magnoliopsida,sp.,8,,,X,,X,X,X,X,X,,,,X,,X,,,,,,,,,,,,,,,,
,Polypodiales,sp.,1,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Amaryllidaceae,Agapanthus,praecox,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Apiaceae,Aegopodium,podagraria,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,Anthriscus,sylvestris,3,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,
Apiaceae,Apioideae,sp.,2,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,Heracleum,sp.,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,Scandiceae,sp.,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquifoliaceae,Ilex,aquifolium,2,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,
Araliaceae,Hedera,helix,6,,X,,,,,,X,,,,,X,,,,X,,,,,,,,,,X,X,,,
Araliaceae,Hedera,sp.,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Asphodelaceae,Aloe,vera,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Aspleniaceae,Asplenium,scolopendrium,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Asteraceae,Asteraceae,sp.,1,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Asteraceae,Cichorieae,sp.,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Asteraceae,Lapsana,communis,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Asteraceae,Sonchus,asper,1,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Asteraceae,Sonchus,oleraceus,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Asteraceae,Sonchus,sp.,1,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Asteraceae,Taraxacum,officinale,2,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Betulaceae,Alnus,glutinosa,2,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,
Betulaceae,Alnus,sp.,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Betulaceae,Betula,pubescens,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Betulaceae,Corylus,avellana,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Symphytum,officinale,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicaceae,Alliaria,petiolata,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
