term,mean,ci_low,ci_high,pd,rope_perc,rate_ratio_mean,rate_ratio_ci_l,rate_ratio_ci_h
Intercept,-1.882,-3.965,0.204,0.961,0.016,0.152,0.019,1.226
dominanttree1Castanea,-1.438,-4.933,1.957,0.793,0.033,0.237,0.007,7.077
dominanttree1Castanea:dominanttree2Acer,0.018,-3.902,3.916,0.501,0.041,1.019,0.02,50.182
dominanttree1Castanea:dominanttree2Acer:dominanttree3Acer,0.005,-3.895,3.997,0.503,0.039,1.005,0.02,54.422
dominanttree1Castanea:dominanttree2Acer:dominanttree3Betula,-0.004,-4.051,4.046,0.503,0.037,0.996,0.017,57.151
dominanttree1Castanea:dominanttree2Acer:dominanttree3Eucalyptus,-0.005,-3.847,3.894,0.501,0.044,0.995,0.021,49.112
dominanttree1Castanea:dominanttree2Acer:dominanttree3Fagus,-0.014,-4.032,4.051,0.504,0.04,0.986,0.018,57.467
dominanttree1Castanea:dominanttree2Acer:dominanttree3Ilex,-0.02,-3.95,3.93,0.502,0.039,0.98,0.019,50.895
dominanttree1Castanea:dominanttree2Acer:dominanttree3Pinus,-0.006,-3.999,3.999,0.501,0.039,0.995,0.018,54.566
dominanttree1Castanea:dominanttree2Acer:dominanttree3Quercus,-0.005,-3.987,3.94,0.502,0.039,0.995,0.019,51.424
dominanttree1Castanea:dominanttree2Acer:dominanttree3Rubus,0.002,-3.938,3.848,0.502,0.039,1.002,0.019,46.888
dominanttree1Castanea:dominanttree2Acer:dominanttree3Sambucus,0.013,-3.841,3.867,0.5,0.039,1.013,0.021,47.787
dominanttree1Castanea:dominanttree2Alnus,0.008,-3.834,3.899,0.502,0.038,1.008,0.022,49.377
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Acer,-0.006,-3.819,3.835,0.502,0.04,0.994,0.022,46.306
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Betula,-0.007,-3.868,3.861,0.502,0.038,0.993,0.021,47.506
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Eucalyptus,-0.001,-4.019,4.054,0.501,0.043,0.999,0.018,57.634
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Fagus,-0.021,-4.051,3.932,0.503,0.045,0.979,0.017,51.001
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Ilex,0.001,-3.85,3.891,0.503,0.038,1.001,0.021,48.975
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Pinus,-0.008,-3.851,3.866,0.5,0.041,0.992,0.021,47.752
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Quercus,-0.013,-3.994,3.989,0.505,0.04,0.987,0.018,53.993
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Rubus,-0.007,-3.897,3.921,0.501,0.039,0.993,0.02,50.427
dominanttree1Castanea:dominanttree2Alnus:dominanttree3Sambucus,-0.012,-3.93,3.801,0.502,0.041,0.989,0.02,44.758
dominanttree1Castanea:dominanttree2Betula,-0.005,-3.98,3.994,0.506,0.042,0.995,0.019,54.25
dominanttree1Castanea:dominanttree2Betula:dominanttree3Acer,-0.005,-3.908,3.939,0.502,0.041,0.995,0.02,51.389
dominanttree1Castanea:dominanttree2Betula:dominanttree3Betula,0.003,-3.899,3.918,0.5,0.047,1.003,0.02,50.316
dominanttree1Castanea:dominanttree2Betula:dominanttree3Eucalyptus,0.007,-3.877,3.849,0.505,0.041,1.007,0.021,46.928
dominanttree1Castanea:dominanttree2Betula:dominanttree3Fagus,-0.009,-3.887,3.908,0.502,0.04,0.992,0.021,49.808
dominanttree1Castanea:dominanttree2Betula:dominanttree3Ilex,-0.005,-3.874,3.888,0.5,0.041,0.995,0.021,48.795
dominanttree1Castanea:dominanttree2Betula:dominanttree3Pinus,-0.015,-3.967,3.952,0.502,0.042,0.985,0.019,52.024
dominanttree1Castanea:dominanttree2Betula:dominanttree3Quercus,-0.002,-3.841,3.753,0.5,0.043,0.998,0.021,42.67
dominanttree1Castanea:dominanttree2Betula:dominanttree3Rubus,0.006,-3.977,3.976,0.501,0.042,1.006,0.019,53.291
dominanttree1Castanea:dominanttree2Betula:dominanttree3Sambucus,0.001,-3.884,3.904,0.5,0.042,1.001,0.021,49.601
dominanttree1Castanea:dominanttree2Cedrus,-0.005,-3.923,3.897,0.501,0.04,0.995,0.02,49.256
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Acer,-0.024,-4.006,3.91,0.506,0.038,0.976,0.018,49.894
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Betula,0.008,-3.962,3.93,0.504,0.043,1.008,0.019,50.912
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Eucalyptus,0.023,-3.9,3.952,0.503,0.036,1.023,0.02,52.044
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Fagus,0.005,-3.753,3.819,0.502,0.043,1.005,0.023,45.55
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Ilex,0.025,-3.915,3.947,0.508,0.039,1.025,0.02,51.798
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Pinus,0.012,-3.947,3.877,0.501,0.04,1.012,0.019,48.278
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Quercus,0.019,-3.836,3.915,0.503,0.042,1.019,0.022,50.155
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Rubus,0.006,-3.829,3.835,0.501,0.041,1.006,0.022,46.293
dominanttree1Castanea:dominanttree2Cedrus:dominanttree3Sambucus,-0.006,-4.01,3.956,0.5,0.042,0.994,0.018,52.263
dominanttree1Castanea:dominanttree2Crataegus,-0.006,-3.92,3.932,0.502,0.041,0.994,0.02,51.025
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Acer,0.019,-3.92,3.934,0.506,0.038,1.019,0.02,51.128
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Betula,0.008,-3.959,3.933,0.503,0.039,1.008,0.019,51.068
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Eucalyptus,0.004,-4,3.939,0.504,0.041,1.004,0.018,51.392
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Fagus,-0.004,-3.851,3.893,0.502,0.041,0.996,0.021,49.077
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Ilex,-0.006,-3.948,4.022,0.505,0.041,0.994,0.019,55.8
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Pinus,0.002,-3.978,3.859,0.5,0.041,1.002,0.019,47.42
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Quercus,-0.011,-4.021,4.089,0.503,0.04,0.989,0.018,59.656
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Rubus,-0.012,-3.937,3.953,0.502,0.04,0.988,0.02,52.077
dominanttree1Castanea:dominanttree2Crataegus:dominanttree3Sambucus,0.001,-3.975,3.953,0.504,0.037,1.001,0.019,52.069
dominanttree1Castanea:dominanttree2Fagus,0.002,-3.93,3.963,0.502,0.043,1.002,0.02,52.621
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Acer,-0.005,-3.824,3.827,0.502,0.045,0.995,0.022,45.934
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Betula,0.003,-3.9,3.862,0.501,0.038,1.003,0.02,47.576
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Eucalyptus,0.006,-3.965,4.006,0.501,0.039,1.006,0.019,54.925
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Fagus,0.018,-3.827,3.852,0.51,0.041,1.019,0.022,47.105
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Ilex,0.007,-3.865,3.888,0.5,0.04,1.007,0.021,48.801
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Pinus,-0.014,-3.989,3.917,0.505,0.042,0.986,0.019,50.27
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Quercus,-0.002,-3.868,3.861,0.502,0.041,0.998,0.021,47.529
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Rubus,-0.004,-4.099,4.077,0.5,0.039,0.996,0.017,58.995
dominanttree1Castanea:dominanttree2Fagus:dominanttree3Sambucus,-0.019,-3.916,3.881,0.505,0.037,0.981,0.02,48.476
dominanttree1Castanea:dominanttree2Fraxinus,-0.014,-4.07,3.976,0.501,0.038,0.986,0.017,53.299
