setting,dispersal_agent,prob,lower.HPD,upper.HPD
Rural,animal,0.651073081384729,0.491457115367004,0.821619882262906
Urban,animal,0.513343218685627,0.339368149635479,0.695916369023716
Rural,wind,0.606179897330985,0.457041863911679,0.765994025213141
Urban,wind,0.221784986577491,0.101424094242019,0.377874608866105
Rural,mixed,0.336747407989186,0.127071653818227,0.592266797971376
Urban,mixed,0.211630700587762,0.0939375388107079,0.36690245982723
Rural,water,0.179530842614411,0.0228431981266839,0.454880275788774
Urban,water,0.0630316721679256,0.002193490955993,0.216145078569609
Rural,ballistic,0.250194163032834,0.0158319630952437,0.675335121939493
Urban,ballistic,0.05986273732061,0.00457001402260724,0.165064364232622
Rural,unassisted,0.229254019879067,0.0374829927773882,0.489230516850706
Urban,unassisted,0.0809757820410154,0.0123455169923749,0.202436811113887
