site,setting,dispersal_agent,sp_disp,n_trees,log_ntrees
S02,Rural,animal,1,61,4.11087386417331
S03,Rural,animal,1,74,4.30406509320417
S03,Rural,wind,2,74,4.30406509320417
S04,Urban,animal,13,51,3.93182563272433
S04,Urban,wind,4,51,3.93182563272433
S04,Urban,mixed,4,51,3.93182563272433
S04,Urban,ballistic,1,51,3.93182563272433
S04,Urban,unassisted,2,51,3.93182563272433
S05,Rural,wind,1,59,4.07753744390572
S05,Rural,unassisted,1,59,4.07753744390572
S06,Urban,animal,4,45,3.80666248977032
S06,Urban,wind,3,45,3.80666248977032
S06,Urban,mixed,4,45,3.80666248977032
S07,Rural,animal,1,134,4.89783979995091
S09,Urban,animal,2,95,4.55387689160054
S09,Urban,wind,1,95,4.55387689160054
S10,Urban,animal,13,50,3.91202300542815
S10,Urban,wind,2,50,3.91202300542815
S10,Urban,mixed,1,50,3.91202300542815
S10,Urban,water,1,50,3.91202300542815
S11,Rural,animal,8,5,1.6094379124341
S11,Rural,wind,2,5,1.6094379124341
S11,Rural,mixed,2,5,1.6094379124341
S12,Rural,animal,1,87,4.46590811865458
S12,Rural,wind,4,87,4.46590811865458
S13,Rural,animal,2,61,4.11087386417331
S13,Rural,wind,1,61,4.11087386417331
S15,Rural,animal,5,43,3.76120011569356
S15,Rural,wind,4,43,3.76120011569356
S15,Rural,mixed,3,43,3.76120011569356
S15,Rural,water,1,43,3.76120011569356
S15,Rural,unassisted,1,43,3.76120011569356
S17,Rural,animal,3,89,4.48863636973214
S19,Urban,animal,5,305,5.72031177660741
S19,Urban,wind,5,305,5.72031177660741
S19,Urban,mixed,5,305,5.72031177660741
S19,Urban,ballistic,1,305,5.72031177660741
S19,Urban,unassisted,1,305,5.72031177660741
S20,Rural,animal,1,94,4.54329478227
S20,Rural,wind,1,94,4.54329478227
S21,Rural,animal,1,65,4.17438726989564
S22,Rural,animal,2,117,4.76217393479776
S22,Rural,wind,1,117,4.76217393479776
S22,Rural,mixed,1,117,4.76217393479776
S23,Rural,wind,2,108,4.68213122712422
S24,Rural,wind,4,116,4.75359019110636
S28,Rural,animal,1,99,4.59511985013459
S28,Rural,wind,1,99,4.59511985013459
S29,Rural,wind,1,150,5.01063529409626
S30,Rural,wind,1,117,4.76217393479776
S31,Rural,wind,2,53,3.97029191355212
S32,Rural,wind,1,196,5.27811465923052
S33,Rural,wind,2,78,4.35670882668959
S34,Rural,animal,1,183,5.20948615284142
S35,Rural,animal,1,251,5.52545293913178
S35,Rural,wind,2,251,5.52545293913178
S37,Rural,wind,1,141,4.94875989037817
S38,Rural,wind,1,122,4.80402104473326
S39,Rural,wind,2,108,4.68213122712422
