dataset,dispersal_agent,setting,n_species,n_obs
field,animal,Urban,26,137
field,animal,Rural,16,53
field,wind,Rural,14,341
field,unknown,Urban,14,48
field,mixed,Urban,12,71
field,wind,Urban,11,52
field,unknown,Rural,7,12
field,mixed,Rural,4,22
field,unassisted,Urban,2,14
field,ballistic,Urban,2,5
field,water,Urban,1,4
field,unassisted,Rural,1,2
field,water,Rural,1,1
inat,animal,Urban,201,905
inat,animal,Rural,151,484
inat,mixed,Urban,120,520
inat,wind,Rural,110,1211
inat,mixed,Rural,107,375
inat,unknown,Urban,106,370
inat,wind,Urban,105,1008
inat,unknown,Rural,100,263
inat,unassisted,Urban,13,71
inat,unassisted,Rural,12,54
inat,ballistic,Rural,7,94
inat,ballistic,Urban,6,41
inat,water,Urban,4,9
inat,water,Rural,4,4
