site,taxon_name,genus_name,tree_sp,epi_count,epi_lat,epi_lon,dbh_cat,taxon_rank,total_trees,obs_count_dbh,spp_count_dbh,obs_count,spp_count,lon,lat,setting,obs_per10,spp_per10,dominanttree1,dominanttree2,dominanttree3,species,mode_key,mode_label,n_modes,source,dispersal_agent_summary
S02,Fagus sylvatica,Fagus,Acer,1,52.4736283333,5.4237366667,30 - 60,species,25,1,1,1,1,5.42394,52.47335,Rural,0.4,0.4,Acer,Prunus,Fagus,Fagus sylvatica,vertebrate-hoarding,Vertebrate-hoarding,1,EuDiS,animal
S03,Hedera helix,Hedera,Beech,1,52.37442,4.5819383333,90+,species,1,1,1,3,3,4.5816766,52.3742974,Rural,10,10,Pinus,Fagus,,Hedera helix,endozoochorous,Endozoochorous,1,EuDiS,animal
S03,Dryopteris,Dryopteris,Carpinus betulus?,1,52.3743388889,4.5826777778,30 - 60,genus,25,1,1,3,3,4.5816766,52.3742974,Rural,0.4,0.4,Pinus,Fagus,,Dryopteris,anemochorous,Anemochorous,1,TRY_GenusFill,wind
S03,Dryopteris dilatata,Dryopteris,Quercus,1,52.3743366667,4.5826716667,60 - 90,species,14,1,1,3,3,4.5816766,52.3742974,Rural,0.7142857142857143,0.7142857142857143,Pinus,Fagus,,Dryopteris dilatata,anemochorous,Anemochorous,1,TRY_GenusFill,wind
S04,Euonymus,Euonymus,Salix,2,52.1273777778,4.4643916667,30 - 60,genus,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Euonymus,endozoochorous_epizoochorous,Mixed,2,TRY_GenusFill,animal
S04,Euonymus europaeus,Euonymus,Salix,1,52.1273777778,4.4643916667,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Euonymus europaeus,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Prunus padus,Prunus,Salix,1,52.1273777778,4.4643916667,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Prunus padus,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Cornus sanguinea,Cornus,Salix,1,52.1270972222,4.4637083333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Cornus sanguinea,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Apioideae,,Salix,1,52.1272777778,4.4647805556,30 - 60,subfamily,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Apioideae,NA,NA,NA,NA,NA
S04,Glechoma,Glechoma,Salix,1,52.1273305556,4.4648611111,30 - 60,genus,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma,NA,NA,NA,NA,NA
S04,Glechoma,Glechoma,Salix,1,52.1273222222,4.4648888889,30 - 60,genus,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma,NA,NA,NA,NA,NA
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1274027778,4.4649638889,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1274027778,4.4649527778,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Heracleum,Heracleum,Salix,1,52.1274388889,4.4649555556,30 - 60,genus,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Heracleum,NA,NA,NA,NA,NA
