taxon_name,genus_name,tree_sp,epi_count,epi_lat,epi_lon,dbh,taxon_rank,family,setting,species,mode_key,mode_label,n_modes,source,dispersal_agent_summary
Fabaceae,,,1,52.1570972222,4.5236583333,NA,family,Fabaceae,,Fabaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
Fabaceae,,,1,51.5027861111,3.624,NA,family,Fabaceae,,Fabaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
Fabaceae,,,1,9.1161416667,-79.7009966667,0.7,family,Fabaceae,Urban,Fabaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
Magnoliopsida,,Alnus?,1,43.3192972222,-1.7733472222,0.3,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Platanus orientalis,6,43.3583416667,-1.8057583333,0.6,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,dead,1,43.3577305556,-1.8014055556,0.4,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,50.1304194444,1.736675,1,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Phoenix canariensis,1,43.3701388889,-1.7772694444,1,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Trachycarpus fortunei,1,43.3702083333,-1.7774333333,0.3,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Phoenix canariensis,1,45.6239722222,-1.0259972222,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus petraea,1,55.0364611111,-7.9680305556,0.7,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Aesculus hippocastanum,1,53.2642805556,-4.0901833333,0.8,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Phoenix canariensis,1,46.4974861111,-1.7831805556,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Cedrus,1,46.5447805556,-1.8100944444,1.8,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
