species,dispersal_mode,source,genus,family,mode_key,mode_label,n_modes,agents_vec,dispersal_agent_multi,dispersal_agent_summary
Abarema brachystachya,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Abarema cochliocarpos,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abarema jupunba,epizoochorous_endozoochorous_myrmecochorous_freshwater-hydrochorous,TRY,NA,NA,endozoochorous_epizoochorous_myrmecochorous_freshwater-hydrochorous,Mixed,4,,animal_water,mixed
Abarema langsdorffii,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abarema villosa,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abatia americana,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Abies alba,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies amabilis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies balsamea,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies bracteata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies cephalonica,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies concolor,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies firma,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies fraseri,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies grandis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies homolepis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies lasiocarpa,myrmecochorous_anemochorous_endozoochorous,TRY,NA,NA,endozoochorous_anemochorous_myrmecochorous,Mixed,3,,animal_wind,mixed
Abies lasiocarpa var. arizonica,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies lasiocarpa var. lasiocarpa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies magnifica,anemochorous_myrmecochorous_epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous_anemochorous_myrmecochorous,Mixed,4,,animal_wind,mixed
Abies magnifica var. magnifica,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies magnifica var. shastensis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies mariesii,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies nordmanniana,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies pinsapo,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies procera,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies religiosa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies sachalinensis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies veitchii,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abildgaardia papillosa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abolboda egleri,anemochorous_unassisted,TRY,NA,NA,anemochorous_unassisted,Mixed,2,,wind_unassisted,mixed
Abolboda poarchon,anemochorous_unassisted,TRY,NA,NA,anemochorous_unassisted,Mixed,2,,wind_unassisted,mixed
Abolboda pulchella,anemochorous_unassisted,TRY,NA,NA,anemochorous_unassisted,Mixed,2,,wind_unassisted,mixed
Abrus precatorius,freshwater-hydrochorous_thalassochorous_myrmecochorous,TRY,NA,NA,thalassochorous_myrmecochorous_freshwater-hydrochorous,Mixed,3,,animal_water,mixed
Abuta grandifolia,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Abuta panamensis,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Abutilon cryptopetalum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon fraseri,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Abutilon inaequilaterum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon ramiflorum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon theophrasti,epizoochorous,EuDiS,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Abutilon trisulcatum,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Abutilon umbelliflorum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon viscosum,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia acradenia,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia adsurgens,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia alleniana,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
