entity_ID,geo_entity,n_TEpis,n_AEpis,total_all,native_all,epiphyte_quotient_all,accidental_quotient_all,divergence_all
10370,Panama,1791,12,9239,8833,0.19385214850092,0.0012988418660028142,0.19255330663491718
10513,Colombia,4718,9,25263,24148,0.18675533388750346,3.562522265764161e-4,0.18639908166092703
10644,Costa Rica,1836,6,10373,9411,0.17699797551335197,5.784247565795816e-4,0.1764195507567724
1045,Jawa,937,2,5568,5568,0.1682830459770115,3.5919540229885057e-4,0.16792385057471265
1065,Sulawesi,433,0,2945,2945,0.14702886247877758,0,0.14702886247877758
10888,Thailand,1019,0,7088,7088,0.14376410835214448,0,0.14376410835214448
398,Iles Crozet,4,0,28,28,0.14285714285714285,0,0.14285714285714285
10336,Nicaragua,865,4,6321,5884,0.1368454358487581,6.328112640404999e-4,0.1362126245847176
10406,Peru,2681,3,19699,19699,0.13609827910046196,1.522919945174882e-4,0.13594598710594447
1058,Philippines,1348,0,10029,10029,0.1344102103898694,0,0.1344102103898694
1069,Trinidad and Tobago,309,0,2392,2392,0.12918060200668896,0,0.12918060200668896
1071,Vanuatu,213,0,1658,1302,0.1284680337756333,0,0.1284680337756333
10909,Venezuela,1925,0,15432,15432,0.12474079834110938,0,0.12474079834110938
359,Niue,23,0,195,195,0.11794871794871795,0,0.11794871794871795
10757,Malaya,916,0,7844,7629,0.11677715451300356,0,0.11677715451300356
10182,Guyana,791,0,7108,6893,0.11128306133933596,0,0.11128306133933596
10183,Suriname,539,0,4988,4783,0.10805934242181235,0,0.10805934242181235
10338,Bolivia,1642,1,15392,14503,0.10667879417879418,6.496881496881497e-5,0.10661382536382537
1035,Borneo,772,0,7534,7534,0.1024688080700823,0,0.1024688080700823
202,La Réunion,183,1,1874,1062,0.09765208110992529,5.336179295624333e-4,0.09711846318036287
10181,French Guiana,518,3,5408,5213,0.09578402366863906,5.547337278106509e-4,0.09522928994082841
10732,Laos,497,4,6023,6006,0.08251701809729371,6.641208699983397e-4,0.08185289722729537
326,Puerto Rico,288,0,3595,2618,0.08011126564673157,0,0.08011126564673157
10667,Equatorial Guinea excl. Bioko,261,0,3315,3234,0.07873303167420814,0,0.07873303167420814
369,St. Helena,7,1,91,91,0.07692307692307693,0.01098901098901099,0.06593406593406594
10733,Liberia,191,0,2620,2620,0.07290076335877863,0,0.07290076335877863
3,Christmas Island,27,0,394,218,0.06852791878172589,0,0.06852791878172589
1032,Andaman Islands,138,0,2037,1756,0.06774668630338733,0,0.06774668630338733
1049,Madagascar,771,2,11748,10898,0.06562819203268641,1.7024174327545113e-4,0.06545795028941095
1054,Nicobar Islands,93,0,1431,1246,0.0649895178197065,0,0.0649895178197065
347,Taiwan,325,3,5190,4516,0.0626204238921002,5.780346820809249e-4,0.06204238921001927
301,Cayman Islands,54,0,872,620,0.06192660550458716,0,0.06192660550458716
10636,Cameroon,431,0,6996,6996,0.06160663236134934,0,0.06160663236134934
984,New Caledonia,204,1,3359,3359,0.06073236082167312,2.9770765108663293e-4,0.06043465317058649
344,Hainan,275,0,4578,4167,0.060069899519440806,0,0.060069899519440806
1064,Sri Lanka,207,1,3464,3464,0.05975750577367205,2.886836027713626e-4,0.05946882217090069
10609,Burundi,144,0,2502,2502,0.05755395683453238,0,0.05755395683453238
373,Tonga,58,0,1039,676,0.05582290664100096,0,0.05582290664100096
10710,Ivory Coast,209,0,3865,3865,0.05407503234152652,0,0.05407503234152652
10861,Sierra Leone,147,0,2726,2726,0.05392516507703595,0,0.05392516507703595
362,Kermadec Islands,14,0,272,124,0.051470588235294115,0,0.051470588235294115
10756,Malawi,235,0,4595,3619,0.051142546245919476,0,0.051142546245919476
10357,"Department of Galapagos, Ecuador",73,0,1436,703,0.05083565459610028,0,0.05083565459610028
10691,Guinea,156,0,3073,3073,0.05076472502440612,0,0.05076472502440612
604,Nauru,23,0,478,68,0.04811715481171548,0,0.04811715481171548
10473,Xizang,340,1,7462,7317,0.04556419190565532,1.3401232913428035e-4,0.04543017957652104
10932,Zaïre,365,0,8269,8269,0.04414076671907123,0,0.04414076671907123
10683,Ghana,151,0,3486,3486,0.04331612162937464,0,0.04331612162937464
10912,Vietnam,177,0,4183,4183,0.04231412861582596,0,0.04231412861582596
397,South Georgia,1,0,24,24,0.041666666666666664,0,0.041666666666666664
627,Chatham Islands,34,1,859,451,0.03958090803259604,0.0011641443538998836,0.03841676367869616
10694,Hawaii incl. Johnston Island,92,14,2402,1160,0.038301415487094086,0.005828476269775187,0.0324729392173189
10881,Tanzania,312,0,8221,8221,0.03795158739812675,0,0.03795158739812675
10934,Zimbabwe,208,2,5990,4367,0.0347245409015025,3.33889816360601e-4,0.0343906510851419
1059,Rodrigues,21,0,611,169,0.03436988543371522,0,0.03436988543371522
428,Bermuda,3,0,89,89,0.033707865168539325,0,0.033707865168539325
10762,Mozambique,190,4,5857,4933,0.032439815605258666,6.829434864264982e-4,0.031756872118832165
129,Macquarie Island,2,0,63,58,0.031746031746031744,0,0.031746031746031744
399,Iles Kerguelen,3,0,97,31,0.030927835051546393,0,0.030927835051546393
1044,Japan,368,42,12457,6405,0.029541623183752107,0.003371598298145621,0.026170024885606484
1313,"Islas Desventurados, Chile",1,0,35,23,0.02857142857142857,0,0.02857142857142857
370,Ascension,5,0,191,26,0.02617801047120419,0,0.02617801047120419
10933,Zambia,166,0,6352,4782,0.026133501259445843,0,0.026133501259445843
10673,Florida,101,26,4259,3034,0.023714486968772014,0.0061047194177036865,0.017609767551068328
10685,Guinea-Bissau,22,0,993,993,0.022155085599194362,0,0.022155085599194362
10093,Swaziland,60,5,2790,2620,0.021505376344086023,0.0017921146953405018,0.019713261648745522
10086,"KwaZulu-Natal Province, South Africa",111,4,5342,4829,0.020778734556345938,7.487832272557095e-4,0.020029951329090228
376,Aruba,7,0,368,368,0.019021739130434784,0,0.019021739130434784
10594,Benin,47,0,2575,2575,0.01825242718446602,0,0.01825242718446602
10428,Korea Peninsula,60,0,3426,2813,0.017513134851138354,0,0.017513134851138354
375,Wake Island,2,0,118,23,0.01694915254237288,0,0.01694915254237288
10590,Azores,14,7,1067,504,0.013120899718837863,0.006560449859418931,0.006560449859418931
10751,Madeira Archipelago,15,5,1157,746,0.01296456352636128,0.00432152117545376,0.008643042350907518
10679,"Gambia, The",8,0,636,636,0.012578616352201259,0,0.012578616352201259
357,Soqotra,10,0,809,809,0.012360939431396786,0,0.012360939431396786
10857,Senegal,21,0,1789,1789,0.011738401341531582,0,0.011738401341531582
10081,Burkina Faso,23,0,2011,1127,0.011437095972153158,0,0.011437095972153158
587,Tasmania,31,20,3254,2418,0.009526736324523662,0.006146281499692686,0.0033804548248309767
10755,Mali,13,0,1495,1495,0.008695652173913044,0,0.008695652173913044
1224,"North Island, New Zealand",20,89,2307,739,0.0086692674469007365,0.03857824013870828,-0.029908972691807544
10801,Northern Territory,35,3,4376,3936,0.007998171846435101,6.855575868372943e-4,0.007312614259597807
10911,Victoria,36,28,4832,3332,0.0074503311258278145,0.005794701986754967,0.0016556291390728475
1036,Canary Islands,14,10,2112,1517,0.006628787878787879,0.004734848484848485,0.001893939393939394
10059,Chad,15,0,2357,2115,0.006364022061943148,0,0.006364022061943148
10476,Qinghai,21,0,3352,3186,0.0062649164677804296,0,0.0062649164677804296
10087,Lesotho,10,0,1761,1603,0.0056785917092561046,0,0.0056785917092561046
10082,Botswana,14,0,2880,2474,0.004861111111111111,0,0.004861111111111111
10674,Føroyar,2,0,464,411,0.004310344827586207,0,0.004310344827586207
10084,"Free State Province, South Africa",11,0,2556,2247,0.004303599374021909,0,0.004303599374021909
10680,Georgia,16,16,3774,3036,0.0042395336512983575,0.0042395336512983575,0
10571,Alabama,12,11,3638,2914,0.003298515667949423,0.0030236393622869707,2.7487630566245223e-4
10452,Neimenggu,8,0,2587,2430,0.0030923850019327404,0,0.0030923850019327404
10851,South Carolina,10,11,3371,2658,0.0029664787896766538,0.003263126668644319,-2.966478789676653e-4
10740,Louisiana,8,3,3151,2377,0.0025388765471278957,9.52078705172961e-4,0.0015867978419549346
200,Ireland incl. North Ireland,5,25,2002,1256,0.0024975024975024975,0.012487512487512488,-0.00999000999000999
10918,Western Australia,28,3,11359,10114,0.0024650057223347126,2.641077559644335e-4,0.002200897966370279
10887,Texas,13,3,5371,4504,0.0024204058834481476,5.585552038726494e-4,0.0018618506795754983
10850,Saudi Arabia,5,0,2156,2113,0.002319109461966605,0,0.002319109461966605
1209,Sakhalin,2,0,895,872,0.0022346368715083797,0,0.0022346368715083797
10582,Arkansas,6,2,2734,2195,0.0021945866861741038,7.31528895391368e-4,0.0014630577907827358
10824,Prince Edward I.,2,0,1007,678,0.0019860973187686196,0,0.0019860973187686196
10782,North Carolina,7,21,3690,2841,0.001897018970189702,0.005691056910569106,-0.0037940379403794042
189,Iceland,2,0,1114,799,0.0017953321364452424,0,0.0017953321364452424
10581,Arizona,7,3,3926,3481,0.001782985226693836,7.641365257259297e-4,0.0010188487009679063
10727,Kentucky,5,6,2814,2138,0.0017768301350390902,0.0021321961620469083,-3.5536602700781805e-4
10606,British Columbia,5,32,2833,2186,0.0017649135192375574,0.011295446523120367,-0.00953053300388281
10815,Ohio,5,19,2874,2022,0.0017397355601948504,0.006610995128740431,-0.004871259568545581
10886,Tennessee,5,14,2976,2360,0.0016801075268817205,0.004704301075268817,-0.0030241935483870967
10925,West Virginia,4,17,2383,1817,0.001678556441460344,0.007133864876206463,-0.005455308434746118
10768,Mississippi,5,5,3012,2407,0.0016600265604249668,0.0016600265604249668,0
1033,Baleares,3,1,1841,1589,0.0016295491580662683,5.431830526887561e-4,0.0010863661053775123
736,Corsica,9,1,5581,3351,0.001612614226841068,1.7917935853789643e-4,0.0014334348683031715
10767,Maryland,5,19,3144,2256,0.0015903307888040711,0.006043256997455471,-0.004452926208651399
10837,Rhode I.,3,10,1917,1408,0.001564945226917058,0.005216484089723527,-0.003651538862806469
10072,Portugal mainland,5,11,3255,2757,0.0015360983102918587,0.003379416282642089,-0.0018433179723502304
10637,Connecticut,4,14,2653,1799,0.0015077271013946476,0.005277044854881266,-0.003769317753486619
10478,Xinjiang,6,0,4025,3810,0.0014906832298136647,0,0.0014906832298136647
10686,Greenland,1,0,684,577,0.0014619883040935672,0,0.0014619883040935672
10914,Virginia,5,25,3463,2604,0.0014438348252959862,0.007219174126479931,-0.005775339301183945
