user_id,user_login,user_name,roles
8223954,a693,A L.C,identifier
2770568,aa22,,identifier
8333278,aallottaret,,identifier
7188216,aamarchante,Adrian Alvarez,"identifier,observer"
459255,aaron567,Aaron Stoll,"curator,identifier,observer"
266181,aaronliston,Aaron Liston,"curator,identifier"
8247753,aaronwallace,Aaron Wallace,identifier
1551892,aavankampen,Tony van Kampen,identifier
4888447,aazide,J. Wedel,identifier
3304841,ab_orchid,,identifier
2285053,abbyhyde,Abby Hyde,"identifier,observer"
46945,abe,T. Abe Lloyd,"identifier,observer"
1866692,abedggood,Alan Bedggood,identifier
2772586,abelkinser,,identifier
773179,abounabat,Errol Véla,"annotator,curator,identifier,observer"
2572340,abrahamlimpkin,Geoffrey Parks,identifier
6380088,abstinence_enthusiast,Sophia,identifier
553033,aburke,Adrian Burke,identifier
4981207,abyssal,Alex Dowd,"annotator,identifier,observer"
7876985,acascante,A. Cascante-Marín,"identifier,observer"
6906574,ackermann_markus,Markus Ackermann,"identifier,observer"
5620,aclay232,,"identifier,observer"
7793217,acnestis,Angus Campbell,"identifier,observer"
8898982,acosta80,André Costa,"identifier,observer"
6589451,acroceph,Acrocephalus,identifier
176229,adair,Adair McNear,"identifier,observer"
7091301,adam_guziak,Adam Guziak,"identifier,observer"
1222837,adennert,,"identifier,observer"
744712,adiamond,Alvin Diamond,"curator,identifier"
253570,adlindsay,Alec Lindsay,"identifier,observer"
676005,adriaan_grobler,Adriaan Grobler,identifier
1495197,adrian_wysocki,Adrian Wysocki,"identifier,observer"
5266780,adriankreft,Adrian Kreft,"annotator,curator,identifier,observer"
3929889,adrianosilverio,Adriano Silvério,identifier
315158,adrien3,Adrien Darroman,"identifier,observer"
2881117,aerieanna,,identifier
5062698,aesculus_californica,Giancarlo Gollotti,"identifier,observer"
2508314,afdexter,Annette Dexter,"annotator,identifier"
1254600,afid,,identifier
4946189,agatajarska,Agata Jarska,"identifier,observer"
5311875,agravia,Agravia,identifier
115129,aguilita,Roberto R. Calderón,"curator,identifier"
5517967,ahabo,ahabo,"identifier,observer"
1529405,ahmedm,,identifier
18823,ahospers,Andre Hosper,"identifier,observer"
1448685,ahparadis,Anne-Hélène Paradis,"curator,identifier"
1739755,aidancampos,Aidan Campos,"curator,identifier"
9493934,ajameson13,,identifier
2526742,ajott,,"identifier,observer"
205278,ajwright,Alex Wright,"curator,identifier"
5956465,akarani,Anthony Karani,"identifier,observer"
796974,akekoa,Jamie Myslik,"identifier,observer"
8657945,akennel,,"identifier,observer"
6590480,aksel_j,,identifier
27450,alabamaplants,J. Kevin England,"curator,identifier"
1342929,alan_prather,Alan Prather,identifier
3816611,alana_mullen,Alana Mullen,identifier
1622698,alanhobler,Alan Hobler,identifier
677256,alanhorstmann,Alan Horstmann,identifier
4035261,alarialn,,"identifier,observer"
448306,alasdair_scott,Alasdair Scott,identifier
726060,albach,,"curator,identifier,observer"
4483817,alberto_colatore,Alberto Colatore,"curator,identifier"
5829267,albertocapuano,Alberto Capuano,identifier
9002596,albina_fadina,Альбина Фадина,"identifier,observer"
3988300,albkat,Katharina Albert,identifier
4747384,alblueheron,Albert Burchsted,"identifier,observer"
