kg,area_km2,percent,koppen,description,r,g,b,hex
15,1934089.3238880634,19.375209443566277,Cfb,"Temperate, no dry, warm",100,255,80,#64FF50
14,1653273.854780093,16.562072293301373,Cfa,"Temperate, no dry, hot",200,255,80,#C8FF50
26,1634618.1215971406,16.375183956098642,Dfb,"Cold, no dry, warm",55,200,255,#37C8FF
3,545858.59280351,5.468271000471365,Aw,"Tropical, savannah",70,170,250,#46AAFA
8,471829.67701203114,4.726668360601229,Csa,"Temperate, dry summer, hot",255,255,0,#FFFF00
9,468662.26618794544,4.694938053550513,Csb,"Temperate, dry summer, warm",200,200,0,#C8C800
7,462214.64634601044,4.63034745615305,BSk,"Arid, steppe, cold",255,220,100,#FFDC64
25,442412.8302130717,4.431977954703446,Dfa,"Cold, no dry, hot",0,255,255,#00FFFF
1,417748.9464503717,4.184901510150493,Af,"Tropical, rainforest",0,0,255,#0000FF
6,405096.74269037164,4.058154986737667,BSh,"Arid, steppe, hot",245,165,0,#F5A500
12,316711.8470772688,3.172737833041243,Cwb,"Temperate, dry winter, warm",100,200,100,#64C864
2,252108.44652157463,2.5255575807781763,Am,"Tropical, monsoon",0,120,255,#0078FF
11,232387.79726569436,2.3280011882286957,Cwa,"Temperate, dry winter, hot",150,255,150,#96FF96
27,187527.053475916,1.8785977940908223,Dfc,"Cold, no dry, cold",0,125,125,#007D7D
29,175019.80819679543,1.7533034274594692,ET,"Polar, tundra",178,178,178,#B2B2B2
4,169894.88089816197,1.701963223794801,BWh,"Arid, desert, hot",255,0,0,#FF0000
18,93590.80488069338,0.9375686138994103,Dsb,"Cold, dry summer, warm",200,0,200,#C800C8
5,39218.22292470701,0.3928780712377523,BWk,"Arid, desert, cold",255,150,150,#FF9696
19,34290.22486066681,0.34351065399958436,Dsc,"Cold, dry summer, cold",150,50,150,#963296
16,32798.51987754228,0.328567137110743,Cfc,"Temperate, no dry, cold",50,200,0,#32C800
22,4925.501511563742,0.04934240741751439,Dwb,"Cold, dry winter, warm",90,120,220,#5A78DC
23,3897.6573243766697,0.0390457286880814,Dwc,"Cold, dry winter, cold",75,80,180,#4B50B4
13,1113.7492869894331,0.011157253926443667,Cwc,"Temperate, dry winter, cold",50,150,50,#329632
17,1080.137814477454,0.010820542838913793,Dsa,"Cold, dry summer, hot",255,0,255,#FF00FF
10,1051.5305512763355,0.01053396263329296,Csc,"Temperate, dry summer, cold",150,150,0,#969600
30,765.8861395898483,0.007672450378169078,EF,"Polar, frost",102,102,102,#666666
21,101.53136897087097,0.0010171151428249566,Dwa,"Cold, dry winter, hot",170,175,255,#AAAFFF
